ppm HF Concentration mole,X (m),Y (m),Z (m)
359462,171.81,65.83,34.74
156901,171.81,65.83,34.73
25279,171.81,65.83,34.73
86939,171.81,65.83,34.73
10083,171.81,65.83,34.73
5865,171.81,65.83,34.73
148569,171.81,65.83,34.77
836764,171.82,65.83,34.76
838072,171.82,65.83,34.76
835403,171.82,65.83,34.76
840252,171.82,65.83,34.76
839266,171.82,65.83,34.76
842818,171.82,65.83,34.76
841458,171.82,65.83,34.76
773217,171.82,65.83,34.76
775261,171.82,65.83,34.76
777065,171.82,65.83,34.76
833445,171.82,65.83,34.76
770991,171.82,65.83,34.76
844820,171.82,65.83,34.76
778600,171.82,65.83,34.76
779912,171.82,65.83,34.76
783125,171.82,65.83,34.76
781445,171.82,65.83,34.76
26479,171.81,65.83,34.73
390760,171.8,65.83,34.77
364123,171.8,65.83,34.74
582947,171.8,65.83,34.74
467151,171.8,65.83,34.74
523897,171.8,65.83,34.74
369072,171.8,65.83,34.74
650438,171.81,65.83,34.74
355260,171.81,65.83,34.74
154235,171.8,65.83,34.74
131002,171.81,65.83,34.73
750528,171.81,65.83,34.74
99191,171.81,65.83,34.73
300842,171.81,65.83,34.74
11364,171.81,65.83,34.73
6586,171.81,65.83,34.73
22079,171.81,65.83,34.73
1622,171.81,65.83,34.73
1081,171.81,65.83,34.73
265179,171.81,65.83,34.74
76256,171.81,65.83,34.73
60216,171.81,65.83,34.73
18405,171.81,65.83,34.73
3131,171.81,65.83,34.73
217,171.81,65.83,34.73
22,171.81,65.83,34.73
21312,171.81,65.83,34.73
395,171.81,65.83,34.73
25,171.81,65.83,34.73
17,171.81,65.83,34.73
7,171.82,65.83,34.73
4,171.82,65.83,34.73
3,171.81,65.83,34.73
812759,171.81,65.83,34.74
837344,171.81,65.83,34.74
735473,171.81,65.83,34.74
760421,171.81,65.83,34.74
675494,171.81,65.83,34.74
28676,171.81,65.83,34.78
445845,171.8,65.83,34.77
301663,171.8,65.83,34.77
139880,171.8,65.83,34.77
357446,171.81,65.83,34.77
123003,171.81,65.83,34.77
100944,171.81,65.83,34.77
207307,171.81,65.83,34.77
21940,171.81,65.83,34.78
114299,171.81,65.83,34.77
546795,171.82,65.83,34.76
549680,171.82,65.83,34.76
597321,171.82,65.83,34.76
599919,171.82,65.83,34.76
543734,171.82,65.83,34.76
594492,171.82,65.83,34.76
554369,171.82,65.83,34.76
552218,171.82,65.83,34.76
604260,171.82,65.83,34.76
602277,171.82,65.83,34.76
559827,171.82,65.83,34.76
556948,171.82,65.83,34.76
609629,171.82,65.83,34.76
606783,171.82,65.83,34.76
613974,171.82,65.83,34.76
293307,171.82,65.83,34.76
296895,171.82,65.83,34.76
300144,171.82,65.83,34.76
481290,171.82,65.83,34.76
485436,171.82,65.83,34.76
709239,171.82,65.83,34.76
663436,171.82,65.83,34.76
712383,171.82,65.83,34.76
667727,171.82,65.83,34.76
619802,171.82,65.83,34.76
489172,171.82,65.83,34.76
492327,171.82,65.83,34.76
715266,171.82,65.83,34.76
671407,171.82,65.83,34.76
717467,171.82,65.83,34.76
674101,171.82,65.83,34.76
624642,171.82,65.83,34.76
628175,171.82,65.83,34.76
539965,171.82,65.83,34.76
829159,171.82,65.83,34.76
589631,171.82,65.83,34.76
289301,171.82,65.83,34.76
827024,171.82,65.83,34.76
768315,171.82,65.83,34.76
476867,171.82,65.83,34.76
705524,171.82,65.83,34.76
658364,171.82,65.83,34.76
613836,171.82,65.83,34.76
813125,171.82,65.83,34.76
536308,171.82,65.83,34.76
818458,171.82,65.83,34.76
544427,171.82,65.83,34.76
727403,171.82,65.83,34.76
734440,171.82,65.83,34.76
822454,171.82,65.83,34.76
551349,171.82,65.83,34.76
824996,171.82,65.83,34.76
556079,171.82,65.83,34.76
741478,171.82,65.83,34.76
745809,171.82,65.83,34.76
563961,171.82,65.83,34.76
621243,171.82,65.83,34.76
847234,171.82,65.83,34.76
317430,171.82,65.83,34.76
785811,171.82,65.83,34.76
506936,171.82,65.83,34.76
726438,171.82,65.83,34.76
683833,171.82,65.83,34.76
302997,171.82,65.83,34.76
305660,171.82,65.83,34.76
312367,171.82,65.83,34.76
308695,171.82,65.83,34.76
494934,171.82,65.83,34.76
497274,171.82,65.83,34.76
719208,171.82,65.83,34.76
676063,171.82,65.83,34.76
720743,171.82,65.83,34.76
677722,171.82,65.83,34.76
630468,171.82,65.83,34.76
632147,171.82,65.83,34.76
502828,171.82,65.83,34.76
499848,171.82,65.83,34.76
724232,171.82,65.83,34.76
681704,171.82,65.83,34.76
722395,171.82,65.83,34.76
679605,171.82,65.83,34.76
636662,171.82,65.83,34.76
634114,171.82,65.83,34.76
826269,171.82,65.83,34.76
826911,171.82,65.83,34.76
558733,171.82,65.83,34.76
560283,171.82,65.83,34.76
747374,171.82,65.83,34.76
747868,171.82,65.83,34.76
827617,171.82,65.83,34.76
562187,171.82,65.83,34.76
748234,171.82,65.83,34.76
828517,171.82,65.83,34.76
565652,171.82,65.83,34.76
750071,171.82,65.83,34.76
330,171.81,65.83,34.78
1811,171.81,65.83,34.78
4006,171.81,65.83,34.78
28199,171.8,65.83,34.78
102790,171.8,65.83,34.77
236391,171.8,65.83,34.77
507576,171.8,65.83,34.77
359977,171.8,65.83,34.77
748478,171.81,65.83,34.74
818458,171.81,65.83,34.74
742707,171.81,65.83,34.74
814865,171.81,65.83,34.74
619554,171.8,65.83,34.74
688,171.81,65.83,34.73
6606,171.81,65.83,34.73
17935,171.81,65.83,34.73
13057,171.81,65.83,34.73
106,171.81,65.83,34.73
440527,171.8,65.83,34.77
546518,171.8,65.83,34.77
544421,171.8,65.83,34.77
573040,171.8,65.83,34.77
107163,171.8,65.83,34.77
211213,171.8,65.83,34.77
370478,171.8,65.83,34.77
312891,171.8,65.83,34.77
512945,171.8,65.83,34.74
616052,171.8,65.83,34.74
120508,171.8,65.83,34.73
308686,171.8,65.83,34.74
348404,171.8,65.83,34.74
292036,171.8,65.83,34.74
385078,171.8,65.83,34.74
476954,171.8,65.83,34.74
132531,171.8,65.83,34.74
2419,171.81,65.83,34.73
26514,171.8,65.83,34.73
608078,171.8,65.83,34.74
613312,171.8,65.83,34.74
624253,171.8,65.83,34.74
428286,171.8,65.83,34.74
439064,171.8,65.83,34.74
537595,171.8,65.83,34.74
622329,171.8,65.83,34.76
397833,171.8,65.83,34.74
437790,171.81,65.83,34.74
