ppm HF Concentration mole,X (m),Y (m),Z (m)
9914,171.81,65.83,34.77
778533,171.82,65.83,34.76
779475,171.82,65.83,34.76
841180,171.82,65.83,34.76
841855,171.82,65.83,34.76
777657,171.82,65.83,34.76
840472,171.82,65.83,34.76
776942,171.82,65.83,34.76
839583,171.82,65.83,34.76
781519,171.82,65.83,34.76
780473,171.82,65.83,34.76
843275,171.82,65.83,34.76
842551,171.82,65.83,34.76
783883,171.82,65.83,34.76
782636,171.82,65.83,34.76
844943,171.82,65.83,34.76
844049,171.82,65.83,34.76
846038,171.82,65.83,34.76
534746,171.81,65.83,34.73
538845,171.81,65.83,34.73
578707,171.81,65.83,34.73
662499,171.81,65.83,34.73
642428,171.81,65.83,34.73
631412,171.81,65.83,34.74
518253,171.82,65.83,34.73
420632,171.82,65.83,34.73
228910,171.82,65.83,34.74
107669,171.82,65.83,34.74
168461,171.82,65.83,34.74
49792,171.82,65.83,34.74
6167,171.81,65.83,34.77
481047,171.82,65.83,34.76
482502,171.82,65.83,34.76
711809,171.82,65.83,34.76
669477,171.82,65.83,34.76
712908,171.82,65.83,34.76
671283,171.82,65.83,34.76
633254,171.82,65.83,34.76
484243,171.82,65.83,34.76
486070,171.82,65.83,34.76
713985,171.82,65.83,34.76
672870,171.82,65.83,34.76
715072,171.82,65.83,34.76
674312,171.82,65.83,34.76
635490,171.82,65.83,34.76
637478,171.82,65.83,34.76
710159,171.82,65.83,34.76
667396,171.82,65.83,34.76
629971,171.82,65.83,34.76
836081,171.82,65.83,34.76
569135,171.82,65.83,34.76
838129,171.82,65.83,34.76
571820,171.82,65.83,34.76
762664,171.82,65.83,34.76
764686,171.82,65.83,34.76
839428,171.82,65.83,34.76
574474,171.82,65.83,34.76
840718,171.82,65.83,34.76
577220,171.82,65.83,34.76
765859,171.82,65.83,34.76
768183,171.82,65.83,34.76
785376,171.82,65.83,34.76
497753,171.82,65.83,34.76
722078,171.82,65.83,34.76
682970,171.82,65.83,34.76
487991,171.82,65.83,34.76
489994,171.82,65.83,34.76
716222,171.82,65.83,34.76
675774,171.82,65.83,34.76
717425,171.82,65.83,34.76
677291,171.82,65.83,34.76
