ppm HF Concentration mole,X (m),Y (m),Z (m)
2,-12.37,265.45,82.14
2,0.48,250.16,77.21
2,-28.44,284.63,87.21
2,-25.22,280.8,87.21
2,-32.27,281.41,87.21
2,-29.05,277.58,87.21
2,-48.03,304.09,89.71
2,-41.6,296.43,89.71
2,1.09,257.2,82.21
2,-2.73,253.99,82.21
2,-6.59,250.83,82.18
2,-2.15,261.05,82.18
2,-5.33,264.85,82.18
2,-6.04,257.9,82.08
2,-9.77,254.65,82.06
2,-9.27,261.67,82.06
2,-18.18,280.18,87.21
2,-14.97,276.35,87.21
2,-4.71,271.9,87.21
2,-8.54,268.69,87.21
2,-11.75,272.52,87.21
2,-22.01,276.97,87.21
2,-18.8,273.14,87.21
2,-25.84,273.75,87.21
2,-22.63,269.92,87.21
2,-12.37,265.48,87.21
2,-16.2,262.26,87.21
2,-15.58,269.31,87.21
2,-19.41,266.09,87.21
2,10.74,245.71,77.21
2,4.31,253.37,82.21
2,6.91,242.5,77.21
2,3.08,239.28,77.21
2,3.69,246.33,77.21
2,-0.13,243.11,77.21
2,0.48,250.16,82.21
2,-3.53,247.01,82.1
2,-67.31,327.07,89.71
2,-54.46,311.75,89.71
2,-60.89,319.41,89.71
2,-27.51,295.19,89.71
2,-21.09,287.53,89.71
2,-35.17,288.77,89.71
2,-28.44,284.63,92.21
2,-25.22,280.8,92.21
2,-32.27,281.41,92.21
2,-29.05,277.58,92.21
2,-40.37,310.52,99.71
2,-33.94,302.85,99.71
2,-41.6,296.43,99.71
2,4.92,260.41,87.21
2,1.09,257.2,87.21
2,-2.73,253.99,87.21
2,-6.56,250.77,87.21
2,1.71,264.24,87.21
2,-2.11,261.03,87.21
2,-1.49,268.07,87.21
2,-5.32,264.86,87.21
2,-5.94,257.82,87.21
2,-9.77,254.6,87.21
2,-9.15,261.65,87.21
2,-12.98,258.43,87.21
2,-14.35,283.4,92.21
2,-18.18,280.18,92.21
2,-11.14,279.57,92.21
2,-14.97,276.35,92.21
2,-4.71,271.9,92.21
2,-8.54,268.69,92.21
2,-7.92,275.73,92.21
2,-11.75,272.52,92.21
2,-22.01,276.97,92.21
2,-18.8,273.14,92.21
2,-25.84,273.75,92.21
2,-22.63,269.92,92.21
2,-12.37,265.48,92.21
2,-16.2,262.26,92.21
2,-15.58,269.31,92.21
2,-19.41,266.09,92.21
2,9.5,231.62,77.21
2,13.33,234.84,77.21
2,10.12,238.67,77.21
2,6.29,235.45,77.21
2,17.16,238.05,77.21
2,13.95,241.88,77.21
2,14.57,248.92,82.21
2,10.74,245.71,82.21
2,7.52,249.54,82.21
2,8.14,256.58,87.21
2,4.31,253.37,87.21
2,6.91,242.5,82.21
2,3.08,239.28,82.21
2,3.69,246.33,82.21
2,-0.13,243.11,82.21
2,0.48,250.16,87.21
2,-3.34,246.94,87.21
2,-59.65,333.5,99.71
2,101.68,157.88,44.41
3,102.76,157.99,43.67
2,101.12,160.19,44.9
2,102.11,159.72,43.86
2,101.61,161.47,44.46
2,-46.8,318.18,99.71
2,-53.22,325.84,99.71
2,-27.51,295.19,99.71
2,-21.09,287.53,99.71
2,-35.17,288.77,99.71
2,-28.75,281.11,99.71
2,8.14,256.58,92.21
2,4.92,260.41,92.21
2,4.31,253.37,92.21
2,1.09,257.2,92.21
2,0.48,250.16,92.21
2,-2.73,253.99,92.21
2,-3.34,246.94,92.21
2,-6.56,250.77,92.21
2,1.71,264.24,92.21
2,-2.11,261.03,92.21
2,-1.49,268.07,92.21
2,-5.32,264.86,92.21
2,-5.94,257.82,92.21
2,-9.77,254.6,92.21
2,-9.15,261.65,92.21
2,-12.98,258.43,92.21
2,-14.66,279.87,99.71
2,-8.23,272.21,99.71
2,-22.32,273.45,99.71
2,-15.89,265.78,99.71
2,26.19,219.51,72.21
2,30.02,222.73,72.21
2,15.93,223.96,77.21
2,19.76,227.17,77.21
2,12.72,227.79,77.21
2,16.55,231,77.21
2,9.5,231.62,82.21
2,13.33,234.84,82.21
2,10.12,238.67,82.21
2,6.29,235.45,82.21
2,23.59,230.39,77.21
2,27.42,233.6,77.21
2,20.38,234.22,77.21
2,24.21,237.43,77.21
2,17.16,238.05,82.21
2,20.99,241.26,82.21
2,17.78,245.09,82.21
2,13.95,241.88,82.21
2,11.04,249.23,89.71
2,3.38,242.8,89.71
2,42.88,207.41,72.21
2,47.34,210.61,72.08
2,39.66,211.24,72.21
2,43.49,214.45,72.21
2,32.62,211.85,72.21
2,29.4,215.68,72.21
2,36.45,215.07,72.21
2,33.23,218.9,72.21
2,18.7,255.66,99.71
2,50.84,217.36,79.71
4,105.5,153.87,43.88
3,103.72,155.92,43.69
3,103.13,157.93,44.81
3,102.16,157.86,45.44
2,101.26,157.67,46.22
2,100.01,159.84,45.33
2,101.53,160.08,45.91
2,102.5,159.61,44.99
2,101.93,161.32,45.53
2,99.12,161.75,46.33
2,35.83,208.02,72.21
2,39.05,204.19,72.21
2,60.18,202.34,72.21
2,63.39,198.51,72.21
5,124.8,135.06,40.17
8,126.24,133.54,38.8
2,128.63,134.52,39.84
14,123.28,133.4,40.33
15,123.89,131.67,39.19
2,4.62,256.89,99.71
2,-3.03,250.46,99.71
2,-1.8,264.55,99.71
2,-9.46,258.12,99.71
2,22.67,219.82,79.71
2,30.33,226.25,79.71
2,15.93,223.96,82.21
2,19.76,227.17,82.21
2,12.72,227.79,82.21
2,16.55,231,82.21
2,9.81,235.14,89.71
2,23.59,230.39,82.21
2,27.42,233.6,82.21
2,20.38,234.22,82.21
2,24.21,237.43,82.21
2,17.47,241.57,89.71
2,11.04,249.23,99.71
2,3.38,242.8,99.71
2,49.3,199.75,72.21
2,53.12,203.56,71.87
2,46.09,203.58,72.21
2,50.07,206.93,72.22
3,43.18,210.93,79.71
2,29.1,212.16,79.71
3,36.76,218.59,79.71
2,37.99,232.68,89.71
2,25.13,248,99.71
2,57.27,209.7,79.71
2,50.84,217.36,89.71
2,44.42,225.02,89.71
2,123.34,136.88,41.34
12,121.4,135.25,41.4
11,119.92,137.09,41.86
5,108.86,150.27,43.78
4,107.28,152.05,43.95
6,110.45,148.41,43.51
4,105.58,153.95,44.92
2,102.49,155.89,45
3,104,155.92,44.8
3,102.94,157.86,46.45
2,101.73,157.26,46.88
2,100.35,159.75,46.31
2,101.98,159.92,46.71
2,104.24,159.38,46.57
2,102.86,161.3,46.59
2,99.22,161.69,48.31
2,101.13,163.27,48.39
4,108.51,146.78,43.39
2,106.57,145.18,43.31
3,106.91,148.63,43.61
2,105.27,150.32,43.76
2,103.52,152.34,44.86
2,103.16,154.23,44.42
2,101.35,156.13,46.87
2,42.26,200.36,72.21
2,35.52,204.5,79.71
2,45.47,196.53,72.21
2,52.52,195.92,72.21
2,56.35,199.13,72.21
2,55.73,192.09,72.21
2,62.38,191.39,67.14
3,59.56,195.3,72.21
2,66.61,194.68,72.21
2,63.7,202.04,79.71
2,69.82,190.85,72.21
2,90.34,181.96,67.21
7,125.08,134.72,41.07
2,127.35,135.75,41.87
10,126.54,133.15,39.67
3,128.8,134.1,41.25
13,123.63,133.08,41.23
13,122.17,133.46,40.92
15,124.31,131.35,40.05
12,122.25,129.85,39.79
2,22.67,219.82,89.71
3,30.33,226.25,89.71
2,16.24,227.48,89.71
2,9.81,235.14,99.71
2,23.9,233.91,89.71
2,17.47,241.57,99.71
3,49.61,203.27,79.71
2,35.52,204.5,89.71
3,43.18,210.93,89.71
2,29.1,212.16,89.71
