ppm HF Concentration mole,X (m),Y (m),Z (m)
3,50.36,81.62,50.6
4,50.42,81.69,50.58
2,50.49,81.67,50.56
3,50.43,81.61,50.56
4,50.41,81.73,50.84
2,50.58,81.73,50.55
2,50.64,81.79,50.79
3,50.78,81.9,51.23
6994,54.78,78.73,41.34
2135,54.78,78.73,41.34
5986,54.78,78.73,41.34
39145,54.77,78.73,41.34
6838,54.77,78.73,41.34
22971,54.78,78.73,41.34
7292,54.78,78.73,41.34
8448,54.78,78.73,41.34
2679,54.78,78.73,41.34
22662,54.78,78.73,41.34
7360,54.78,78.73,41.34
22549,54.78,78.73,41.34
58171,54.78,78.73,41.34
578835,54.78,78.73,41.34
149654,54.78,78.73,41.33
434301,54.78,78.73,41.33
452475,54.78,78.73,41.33
519888,54.77,78.73,41.33
52908,54.78,78.73,41.33
58652,54.78,78.73,41.33
12412,54.78,78.73,41.33
61698,54.78,78.73,41.33
71327,54.78,78.73,41.34
95264,54.78,78.73,41.34
6846,54.78,78.73,41.34
23602,54.78,78.73,41.34
118500,54.78,78.73,41.34
508745,54.78,78.73,41.33
609506,54.78,78.73,41.33
758331,54.78,78.73,41.34
749606,54.78,78.73,41.34
578617,54.78,78.73,41.33
643276,54.78,78.73,41.34
862339,54.78,78.73,41.33
886532,54.77,78.73,41.34
905578,54.77,78.73,41.33
865240,54.77,78.73,41.33
765847,54.77,78.73,41.34
802648,54.77,78.73,41.34
362674,54.77,78.73,41.33
846755,54.77,78.73,41.33
608748,54.77,78.73,41.33
739731,54.77,78.73,41.34
526222,54.77,78.73,41.34
473743,54.77,78.73,41.34
125178,54.77,78.73,41.33
7153,54.77,78.73,41.34
605090,54.77,78.73,41.34
34225,54.77,78.73,41.34
59272,54.77,78.73,41.34
55464,54.77,78.73,41.34
657963,54.77,78.73,41.34
95287,54.77,78.73,41.34
376936,54.77,78.73,41.33
131854,54.77,78.73,41.33
3211,54.78,78.73,41.34
1192,54.78,78.73,41.34
675,54.78,78.73,41.34
1974,54.78,78.73,41.34
1400,54.78,78.73,41.34
5886,54.78,78.73,41.34
1970,54.78,78.73,41.34
901,54.78,78.73,41.34
1015,54.78,78.73,41.34
2353,54.78,78.73,41.34
1129,54.78,78.73,41.35
5966,54.78,78.73,41.34
3726,54.78,78.73,41.34
2569,54.77,78.73,41.34
7553,54.78,78.73,41.34
7048,54.77,78.73,41.34
55528,54.77,78.73,41.34
1468,54.77,78.73,41.35
4130,54.77,78.73,41.34
16840,54.77,78.73,41.34
54524,54.78,78.73,41.34
471040,54.78,78.73,41.34
584023,54.78,78.73,41.34
9968,54.78,78.73,41.34
2475,54.78,78.73,41.34
89662,54.78,78.73,41.34
7506,54.78,78.73,41.34
8967,54.78,78.73,41.34
63434,54.78,78.73,41.34
29669,54.78,78.73,41.34
434327,54.78,78.73,41.34
361169,54.77,78.73,41.34
231826,54.77,78.73,41.34
416974,54.78,78.73,41.34
466893,54.78,78.73,41.34
130153,54.78,78.73,41.34
438658,54.78,78.73,41.34
486561,54.77,78.73,41.34
258208,54.77,78.73,41.34
676944,54.77,78.73,41.34
365204,54.77,78.73,41.34
442074,54.77,78.73,41.34
651479,54.77,78.73,41.34
785568,54.78,78.73,41.34
13014,54.78,78.73,41.33
3566,54.78,78.73,41.33
13932,54.78,78.73,41.33
9663,54.78,78.73,41.33
43315,54.78,78.73,41.33
53709,54.78,78.73,41.33
192377,54.78,78.73,41.33
