ppm HF Concentration mole,X (m),Y (m),Z (m)
2,86.98,83.61,60.66
2,87.15,83.69,60.45
2,87.12,83.66,60.45
2,87.09,84.15,60.81
2,87,84.2,60.84
2,87.09,84.04,60.69
2,87.05,84.1,60.76
2,87.01,84.26,60.85
2,87.04,84.21,60.85
2,87.1,84.15,60.85
2,87.13,84.09,60.69
2,87.13,83.61,60.45
2,87.2,83.67,60.45
2,87.03,83.99,60.61
2,87.08,83.93,60.53
2,87.14,83.69,60.37
2,87.11,83.67,60.37
2,87.09,84.04,60.61
2,87.11,83.98,60.54
2,87.06,84.21,60.81
2,87.14,84.2,60.81
2,87.1,84.15,60.77
2,87.12,84.09,60.63
2,87,84.31,60.84
2,87.1,84.15,60.69
2,87.04,84.26,60.81
2,87,84.26,60.84
2,87,84.2,60.79
2,87.03,84.15,60.75
2,87.04,84.1,60.69
2,87.01,84.15,60.73
2,87,84.15,60.78
2,87.09,84.27,60.85
2,87.17,84.2,60.85
2,87.19,84.09,60.69
2,87.18,84.42,60.85
2,87.18,84.05,60.59
2,87.18,83.97,60.53
2,87.19,84.09,60.62
2,87.13,83.61,60.37
2,87.18,83.93,60.51
2,87.19,83.77,60.45
2,87.19,83.66,60.37
2,87.13,84.06,60.59
2,87.13,83.97,60.52
2,87.13,84.09,60.61
2,87.13,83.93,60.51
2,86.98,84.05,60.61
2,87.03,83.99,60.53
2,87.11,83.86,60.45
2,87.14,83.69,60.31
2,87.11,83.75,60.37
2,87.12,83.68,60.3
2,87.04,84.1,60.61
2,87.08,84.03,60.53
2,87.08,84.26,60.81
2,87.15,84.2,60.77
2,87.06,84.21,60.76
2,87.09,84.15,60.61
2,87.14,84.2,60.69
2,87.15,84.42,60.77
2,87,84.32,60.8
2,87.05,84.21,60.69
2,87.04,84.26,60.76
2,86.99,84.21,60.75
2,87.02,84.26,60.73
2,87,84.27,60.79
2,86.99,84.16,60.69
2,86.98,84.15,60.75
2,87.13,84.34,60.85
2,87.2,84.2,60.79
2,87.19,84.2,60.69
2,87.13,84.53,60.85
2,87.19,84.42,60.78
2,87.19,84.15,60.6
2,87.19,84.05,60.53
2,87.02,83.63,60.37
2,87.14,83.62,60.29
2,87.18,83.93,60.45
2,87.18,83.85,60.45
2,87.19,83.66,60.31
2,87.18,83.76,60.37
2,87.19,83.63,60.28
2,87.13,84.75,60.85
2,87.13,84.14,60.59
2,87.13,83.87,60.44
2,87.11,83.75,60.3
2,87.12,83.68,60.23
2,87.07,83.71,60.29
2,87.07,84.65,60.85
2,87.05,84.43,60.85
2,87.06,84.31,60.67
2,87.11,84.31,60.74
2,87.13,84.2,60.63
2,87.12,84.53,60.73
2,87.07,84.87,60.85
2,87.12,84.75,60.73
2,87.01,84.65,60.8
2,87.01,84.87,60.8
2,87,84.44,60.8
2,87,84.32,60.75
2,87,84.27,60.69
2,86.99,84.26,60.75
2,86.94,84.21,60.68
2,86.93,84.11,60.68
2,86.95,84.16,60.75
2,86.87,84.05,60.68
2,87.19,84.33,60.74
2,87.19,84.2,60.62
2,87.19,84.54,60.74
2,87.02,83.63,60.3
2,87.16,83.63,60.23
2,87.07,83.63,60.28
2,87.18,83.84,60.37
2,87.18,83.64,60.23
2,87.18,83.74,60.29
2,87.13,84.97,60.85
2,87.16,85.18,60.85
2,87.17,85.41,60.85
2,87.2,84.75,60.75
2,87.14,84.2,60.61
2,87.02,84.65,60.68
2,87.08,84.65,60.75
2,87.01,84.43,60.68
2,87.07,84.43,60.75
2,87.08,85.1,60.85
2,87.13,84.97,60.74
2,87.03,84.87,60.68
2,87.08,84.87,60.75
2,87.18,85.64,60.85
2,87.08,85.53,60.85
2,87.13,85.18,60.74
2,87.03,85.21,60.85
2,86.94,84.77,60.68
2,86.97,84.65,60.75
2,87.01,85.06,60.8
2,86.98,84.87,60.75
2,86.97,84.43,60.75
2,86.96,84.27,60.75
2,86.93,84.21,60.75
2,86.92,84.11,60.75
2,86.86,84.06,60.74
2,86.9,84.55,60.75
2,87.14,85.41,60.77
2,87.07,85.53,60.81
2,87.02,83.64,60.23
2,86.95,83.63,60.29
2,87.08,83.63,60.21
2,87.18,83.71,60.21
2,87.2,84.97,60.75
2,87.1,85.31,60.85
2,87.19,85.17,60.75
2,87.15,85.53,60.85
2,87.19,85.41,60.77
2,87.19,85.64,60.78
2,87.12,83.76,60.2
2,87.05,85.21,60.76
2,87.1,85.31,60.75
2,87.04,85.09,60.68
2,87.09,85.09,60.75
2,86.95,84.99,60.68
2,87.14,85.64,60.77
2,87.05,85.64,60.85
2,87.13,85.75,60.85
2,87.13,85.97,60.85
2,87.14,86.2,60.85
2,87.06,85.44,60.75
2,87.04,85.44,60.85
2,87.05,85.31,60.67
2,87,85.31,60.81
2,86.98,85.09,60.75
2,87,85.21,60.8
2,86.91,84.77,60.74
2,86.93,84.99,60.75
2,86.8,84.67,60.74
2,86.88,84.33,60.75
2,86.87,84.17,60.74
2,86.8,84,60.73
2,86.81,84.12,60.74
2,86.79,84.45,60.74
2,86.81,85.11,60.7
2,87.1,85.53,60.73
2,87.07,85.65,60.76
2,86.96,83.63,60.21
2,87.11,83.63,60.11
2,86.86,83.62,60.12
2,87.19,83.7,60.13
2,87.19,83.65,60.08
2,87.19,85.32,60.73
2,87.19,85.53,60.73
2,87.19,85.76,60.74
2,87.19,85.97,60.74
2,87.19,86.19,60.75
2,87.08,83.69,60.07
2,86.97,85.21,60.68
2,86.87,85.11,60.67
2,87.19,86.39,60.75
2,87.16,86.41,60.85
2,87.14,86.64,60.74
2,87.16,86.63,60.85
2,87.11,85.75,60.73
2,87.07,85.87,60.85
2,87.01,85.67,60.82
2,87.11,85.97,60.74
2,87.07,86.09,60.85
2,87.12,86.2,60.74
2,87.08,86.32,60.85
2,87,85.43,60.68
2,86.99,85.31,60.76
2,87,85.45,60.8
2,87,85.62,60.78
2,86.94,85.21,60.75
2,86.82,84.89,60.74
2,86.84,85.11,60.74
2,86.74,84.79,60.74
2,86.77,85.2,60.68
2,87.07,85.53,60.58
2,87.01,85.65,60.68
2,87.08,86.09,60.75
2,87.08,85.87,60.75
2,87.09,85.97,60.58
2,87.09,85.76,60.58
2,87.1,86.2,60.61
2,87.08,86.31,60.75
2,87.11,86.4,60.61
2,87.15,83.61,59.97
2,86.96,83.63,60.09
2,87.2,83.64,59.97
2,87.18,86.08,60.68
2,87.18,85.96,60.58
2,87.18,86.2,60.6
2,87.19,86.53,60.74
2,87.19,86.4,60.6
2,87.2,86.63,60.75
2,87.17,86.86,60.85
2,87.1,83.68,59.96
2,86.8,85.23,60.67
2,86.88,85.33,60.68
2,87.13,86.2,60.56
2,87.13,86.4,60.57
2,87.12,86.64,60.61
2,87.13,86.4,60.73
2,87.1,86.53,60.74
2,87.1,86.53,60.85
2,87.15,86.86,60.73
2,87.11,86.75,60.74
2,87.11,86.75,60.85
2,87,85.87,60.8
2,87.02,85.87,60.68
2,87.03,86.09,60.68
2,87.01,86.09,60.81
2,87.04,86.2,60.75
2,87.05,86.43,60.77
2,87.03,86.43,60.85
2,87.03,86.31,60.68
2,87.01,86.3,60.81
2,86.91,85.55,60.68
2,86.95,85.43,60.75
2,86.96,85.66,60.75
2,86.85,85.33,60.74
2,86.82,85.45,60.67
2,86.76,85.01,60.74
2,86.77,85.23,60.74
2,86.82,85.68,60.67
2,87.01,85.65,60.57
2,86.92,85.77,60.68
2,87.04,86.09,60.57
2,87.03,85.87,60.57
2,87.05,86.31,60.57
2,87.07,86.53,60.58
2,86.99,83.62,59.94
2,87.18,86.09,60.56
2,87.19,86.3,60.54
2,87.19,86.53,60.56
2,87.2,86.75,60.75
2,87.19,86.64,60.6
2,87.2,86.85,60.75
