ppm HF Concentration mole,X (m),Y (m),Z (m)
522974,74.85,65.87,40.85
591404,74.86,65.87,40.85
60349,74.86,65.87,40.88
6,74.85,65.87,40.89
502,74.85,65.87,40.88
108,74.85,65.87,40.88
236,74.85,65.87,40.89
199,74.85,65.87,40.89
87,74.85,65.87,40.89
226,74.85,65.87,40.89
220,74.84,65.87,40.89
66,74.84,65.87,40.89
87,74.84,65.87,40.89
486,74.84,65.87,40.89
344948,74.85,65.87,40.89
32012,74.86,65.87,40.88
9310,74.85,65.87,40.88
1835,74.85,65.87,40.88
793,74.85,65.87,40.88
832,74.85,65.87,40.88
647456,74.85,65.87,40.88
543247,74.86,65.87,40.86
541718,74.85,65.87,40.85
543090,74.85,65.87,40.85
430136,74.85,65.87,40.85
517192,74.85,65.87,40.85
419388,74.85,65.87,40.85
460270,74.85,65.87,40.85
709081,74.85,65.87,40.85
501558,74.85,65.87,40.85
335738,74.85,65.87,40.85
342477,74.85,65.87,40.85
361890,74.84,65.87,40.85
251961,74.85,65.87,40.85
278187,74.84,65.87,40.85
405180,74.84,65.87,40.85
442078,74.84,65.87,40.85
424064,74.84,65.87,40.85
360772,74.84,65.87,40.85
297656,74.84,65.87,40.85
554354,74.86,65.87,40.86
476622,74.86,65.87,40.86
795232,74.86,65.87,40.86
506111,74.86,65.87,40.86
850269,74.86,65.87,40.86
354173,74.86,65.87,40.85
483733,74.85,65.87,40.85
413734,74.86,65.87,40.85
694153,74.86,65.87,40.85
550070,74.86,65.87,40.85
383254,74.85,65.87,40.85
311142,74.85,65.87,40.85
510940,74.85,65.87,40.85
411467,74.85,65.87,40.85
540043,74.85,65.87,40.85
791984,74.85,65.87,40.85
1160,74.86,65.87,40.88
2372,74.86,65.87,40.88
315501,74.86,65.87,40.88
12709,74.86,65.87,40.88
262,74.85,65.87,40.89
232,74.85,65.87,40.89
202,74.84,65.87,40.89
176,74.84,65.87,40.89
161,74.84,65.87,40.89
146,74.84,65.87,40.89
293,74.85,65.87,40.89
330,74.85,65.87,40.89
415,74.85,65.87,40.89
154,74.85,65.87,40.89
24831,74.85,65.87,40.89
556,74.85,65.87,40.89
326,74.85,65.87,40.89
439,74.85,65.87,40.89
300,74.85,65.87,40.89
205432,74.85,65.87,40.88
591,74.85,65.87,40.88
917,74.85,65.87,40.88
412,74.85,65.87,40.89
1562,74.85,65.87,40.88
38007,74.85,65.87,40.88
349,74.85,65.87,40.89
265,74.85,65.87,40.89
331,74.85,65.87,40.89
234,74.85,65.87,40.89
260,74.85,65.87,40.89
351,74.85,65.87,40.89
223,74.85,65.87,40.89
1044,74.85,65.87,40.89
241,74.84,65.87,40.89
9162,74.84,65.87,40.89
249,74.84,65.87,40.89
247,74.85,65.87,40.89
204,74.84,65.87,40.89
81,74.84,65.87,40.89
167,74.84,65.87,40.89
165,74.84,65.87,40.89
149,74.84,65.87,40.89
137,74.84,65.87,40.89
139,74.84,65.87,40.89
27764,74.84,65.87,40.89
307,74.84,65.87,40.89
45940,74.84,65.87,40.89
66974,74.84,65.87,40.89
34096,74.84,65.87,40.89
43,74.84,65.87,40.89
138,74.83,65.87,40.89
11267,74.85,65.87,40.89
48120,74.85,65.87,40.89
95567,74.84,65.87,40.89
142983,74.84,65.87,40.89
203374,74.84,65.87,40.89
299120,74.84,65.87,40.89
279514,74.84,65.87,40.89
57488,74.86,65.87,40.88
148567,74.86,65.87,40.88
549668,74.86,65.87,40.86
401960,74.86,65.87,40.87
405287,74.86,65.87,40.87
394322,74.86,65.87,40.87
398994,74.86,65.87,40.87
598548,74.86,65.87,40.86
583630,74.86,65.87,40.86
408717,74.86,65.87,40.86
414193,74.86,65.87,40.86
471254,74.86,65.87,40.87
434351,74.86,65.87,40.87
313656,74.86,65.87,40.88
41728,74.86,65.87,40.88
705233,74.86,65.87,40.88
807312,74.86,65.87,40.88
199757,74.85,65.87,40.88
3081,74.86,65.87,40.88
38683,74.85,65.87,40.88
246628,74.85,65.87,40.88
477451,74.85,65.87,40.88
474599,74.85,65.87,40.88
535535,74.85,65.87,40.88
1137,74.86,65.87,40.88
5020,74.85,65.87,40.88
1989,74.85,65.87,40.88
867,74.86,65.87,40.88
1658,74.85,65.87,40.88
742,74.85,65.87,40.88
3517,74.85,65.87,40.88
900,74.85,65.87,40.88
70840,74.85,65.87,40.88
65967,74.85,65.87,40.88
293889,74.85,65.87,40.88
600745,74.85,65.87,40.88
674632,74.85,65.87,40.88
569474,74.85,65.87,40.88
646539,74.85,65.87,40.88
750292,74.85,65.87,40.88
731444,74.85,65.87,40.88
526116,74.85,65.87,40.88
604903,74.85,65.87,40.88
177228,74.85,65.87,40.88
66761,74.85,65.87,40.89
555279,74.85,65.87,40.88
702928,74.85,65.87,40.88
180412,74.85,65.87,40.88
715085,74.85,65.87,40.88
317854,74.84,65.87,40.88
391122,74.84,65.87,40.88
450976,74.84,65.87,40.88
563753,74.84,65.87,40.88
540527,74.84,65.87,40.89
642019,74.86,65.87,40.86
399444,74.86,65.87,40.86
350889,74.86,65.87,40.86
299706,74.86,65.87,40.85
471777,74.85,65.87,40.85
737854,74.85,65.87,40.85
245408,74.85,65.87,40.85
564935,74.85,65.87,40.85
400902,74.85,65.87,40.85
321101,74.85,65.87,40.85
374402,74.85,65.87,40.85
393652,74.85,65.87,40.85
548025,74.85,65.87,40.85
195178,74.85,65.87,40.85
344235,74.85,65.87,40.85
245516,74.85,65.87,40.85
316918,74.85,65.87,40.85
294395,74.85,65.87,40.85
239209,74.85,65.87,40.85
141675,74.85,65.87,40.84
149781,74.85,65.87,40.84
167600,74.84,65.87,40.84
175701,74.84,65.87,40.84
171949,74.84,65.87,40.84
154921,74.84,65.87,40.84
392766,74.85,65.87,40.85
467035,74.85,65.87,40.85
493254,74.84,65.87,40.85
220790,74.83,65.87,40.85
527139,74.84,65.87,40.85
591832,74.84,65.87,40.85
667503,74.84,65.87,40.85
711798,74.84,65.87,40.85
368436,74.83,65.87,40.85
316040,74.83,65.87,40.85
204081,74.83,65.87,40.85
126736,74.83,65.87,40.85
268847,74.85,65.87,40.85
256100,74.85,65.87,40.85
286822,74.85,65.87,40.85
192300,74.85,65.87,40.85
210817,74.85,65.87,40.85
295138,74.85,65.87,40.85
321056,74.84,65.87,40.85
340804,74.84,65.87,40.85
349069,74.84,65.87,40.85
167186,74.85,65.87,40.85
237243,74.84,65.87,40.85
194207,74.84,65.87,40.85
252384,74.84,65.87,40.85
401460,74.84,65.87,40.85
381080,74.84,65.87,40.85
488385,74.84,65.87,40.85
369105,74.84,65.87,40.85
482636,74.84,65.87,40.85
339686,74.84,65.87,40.85
403600,74.84,65.87,40.85
257926,74.84,65.87,40.85
193609,74.83,65.87,40.85
220424,74.84,65.87,40.85
248677,74.84,65.87,40.85
236315,74.84,65.87,40.85
221861,74.84,65.87,40.85
168031,74.84,65.87,40.85
469265,74.86,65.87,40.86
738523,74.86,65.87,40.86
835481,74.86,65.87,40.86
522203,74.86,65.87,40.86
773818,74.86,65.87,40.86
818646,74.86,65.87,40.86
413564,74.86,65.87,40.86
553568,74.85,65.87,40.86
474704,74.86,65.87,40.86
569915,74.85,65.87,40.86
608442,74.85,65.87,40.86
635794,74.85,65.87,40.86
610341,74.85,65.87,40.86
635893,74.85,65.87,40.86
326261,74.86,65.87,40.85
271802,74.86,65.87,40.85
231377,74.86,65.87,40.85
192508,74.86,65.87,40.85
268238,74.86,65.87,40.85
382603,74.86,65.87,40.85
428980,74.85,65.87,40.85
340015,74.86,65.87,40.85
511552,74.85,65.87,40.85
599317,74.85,65.87,40.85
634619,74.85,65.87,40.85
559520,74.85,65.87,40.85
628539,74.85,65.87,40.85
