ppm HF Concentration mole,X (m),Y (m),Z (m)
2,67.63,116,60.88
2,67.63,116,60.88
2,67.65,116,60.88
2,67.65,116,60.88
2,67.64,116,60.88
2,67.65,116,60.88
2,67.65,116,60.88
2,67.65,115.99,60.88
2,67.66,116,60.88
2,67.66,116,60.88
2,67.66,116,60.88
2,67.66,115.99,60.87
2,67.67,116,60.88
2,67.66,115.99,60.88
2,67.67,116,60.88
2,67.66,115.99,60.88
2,67.67,116,60.88
2,67.67,116,60.88
2,67.67,116,60.88
2,67.67,116,60.88
2,67.68,115.99,60.87
2,67.68,116,60.88
2,67.68,116,60.88
2,67.68,115.99,60.88
2,67.68,115.98,60.88
2,67.68,116,60.88
2,67.68,115.99,60.88
2,67.68,116,60.88
2,67.69,116,60.88
2,67.68,115.98,60.88
2,67.69,115.99,60.88
2,67.7,115.98,60.88
2,67.69,115.99,60.87
2,67.7,115.98,60.87
2,67.69,116,60.88
2,67.69,116,60.88
2,67.69,116,60.88
2,67.72,116,60.88
2,67.7,116.01,60.88
2,67.72,116,60.87
2,67.7,115.96,60.85
2,67.7,116.01,60.88
2,67.7,115.98,60.86
2,67.73,116,60.88
2,67.71,115.98,60.87
2,67.7,115.97,60.85
2,67.71,115.96,60.86
2,67.71,115.98,60.87
2,67.7,115.98,60.85
2,67.72,116,60.87
2,67.7,115.99,60.87
2,67.7,116.01,60.88
2,67.7,116,60.88
2,67.69,115.99,60.88
2,67.7,115.98,60.88
2,67.71,115.99,60.88
2,67.71,116,60.87
2,67.76,115.99,60.87
2,67.73,116,60.87
2,67.76,116,60.87
2,67.71,115.96,60.85
2,67.71,115.94,60.84
2,67.7,116,60.87
2,67.71,115.97,60.84
2,67.75,115.98,60.87
2,67.73,115.99,60.87
2,67.71,115.96,60.85
2,67.71,115.94,60.85
2,67.71,115.98,60.86
2,67.71,115.99,60.85
2,67.71,115.97,60.86
2,67.72,115.98,60.87
2,67.71,115.97,60.85
2,67.71,115.99,60.87
2,67.71,116,60.85
2,67.79,115.99,60.87
2,67.76,115.99,60.86
2,67.77,115.98,60.87
2,67.73,116,60.85
2,67.79,116,60.87
2,67.76,116,60.85
2,67.71,115.95,60.84
2,67.71,115.94,60.83
2,67.71,116,60.85
2,67.71,115.98,60.84
2,67.71,115.97,60.83
2,67.81,116,60.87
2,67.81,115.99,60.87
2,67.75,115.98,60.86
2,67.77,115.98,60.86
2,67.76,115.98,60.85
2,67.76,115.97,60.86
2,67.73,115.99,60.85
2,67.72,115.96,60.85
2,67.71,115.95,60.85
2,67.72,115.95,60.85
2,67.72,115.95,60.85
2,67.71,115.94,60.84
2,67.71,115.97,60.84
2,67.72,115.98,60.85
2,67.71,115.99,60.85
2,67.71,116,60.83
2,67.8,115.98,60.87
2,67.79,115.99,60.86
2,67.75,116,60.85
2,67.73,116,60.83
2,67.79,116,60.86
2,67.76,116,60.83
2,67.78,116,60.85
2,67.71,115.94,60.83
2,67.71,115.93,60.82
2,67.71,115.95,60.83
2,67.71,116,60.83
2,67.71,115.98,60.83
2,67.71,115.9,60.81
2,67.81,115.99,60.86
2,67.82,116,60.86
2,67.82,115.99,60.87
2,67.71,115.88,60.81
2,67.84,116,60.86
2,67.84,115.99,60.87
2,67.72,115.87,60.81
2,67.72,115.9,60.81
2,67.75,115.98,60.85
2,67.77,115.98,60.85
2,67.76,115.98,60.83
2,67.76,115.96,60.85
2,67.73,115.99,60.83
2,67.73,115.97,60.85
2,67.73,115.95,60.85
2,67.72,115.93,60.83
2,67.71,115.94,60.83
2,67.72,115.95,60.83
2,67.72,115.99,60.83
2,67.71,116,60.81
2,67.72,115.98,60.83
2,67.8,115.98,60.86
2,67.79,115.98,60.86
2,67.79,115.96,60.85
2,67.75,116,60.83
2,67.72,116,60.81
2,67.8,116,60.85
2,67.76,116,60.81
2,67.78,115.99,60.83
2,67.71,115.93,60.81
2,67.71,115.95,60.81
2,67.71,115.98,60.81
2,67.71,115.91,60.81
2,67.71,115.9,60.79
2,67.82,115.99,60.84
2,67.83,116,60.85
2,67.82,115.98,60.85
2,67.83,115.97,60.87
2,67.73,115.88,60.81
2,67.71,115.87,60.77
2,67.71,115.87,60.81
2,67.71,115.89,60.79
2,67.84,115.99,60.84
2,67.87,116,60.86
2,67.84,115.98,60.85
2,67.72,115.87,60.79
2,67.77,115.95,60.83
2,67.78,115.93,60.83
2,67.73,115.91,60.81
2,67.72,115.9,60.8
2,67.76,115.94,60.83
2,67.74,115.9,60.81
2,67.72,115.87,60.78
2,67.75,115.98,60.83
2,67.77,115.97,60.83
2,67.76,115.98,60.81
2,67.76,115.96,60.83
2,67.73,115.99,60.81
2,67.73,115.97,60.83
2,67.74,115.95,60.83
2,67.73,115.94,60.83
2,67.72,115.93,60.81
2,67.72,115.95,60.81
2,67.72,115.98,60.81
2,67.8,115.97,60.85
2,67.79,115.96,60.83
2,67.74,116,60.81
2,67.72,116,60.79
2,67.8,115.99,60.83
2,67.76,116,60.79
2,67.78,115.99,60.81
2,67.71,115.94,60.81
2,67.71,115.93,60.79
2,67.71,115.96,60.79
2,67.71,115.98,60.79
2,67.71,115.91,60.79
2,67.71,115.89,60.77
2,67.83,115.99,60.84
2,67.82,115.98,60.84
2,67.83,115.97,60.85
2,67.81,115.96,60.85
2,67.8,115.95,60.83
2,67.75,115.88,60.81
2,67.73,115.88,60.79
2,67.71,115.86,60.77
2,67.71,115.87,60.79
2,67.89,116,60.86
2,67.84,115.97,60.84
2,67.87,115.99,60.83
2,67.87,115.97,60.85
2,67.72,115.86,60.79
2,67.71,115.84,60.77
2,67.78,115.91,60.81
2,67.77,115.89,60.81
2,67.73,115.86,60.77
2,67.8,115.92,60.81
2,67.77,115.95,60.81
2,67.78,115.93,60.81
2,67.74,115.92,60.81
2,67.73,115.91,60.79
2,67.76,115.94,60.81
2,67.77,115.92,60.81
2,67.75,115.91,60.81
2,67.74,115.9,60.79
2,67.73,115.88,60.77
2,67.75,115.98,60.81
2,67.77,115.97,60.81
2,67.76,115.98,60.79
2,67.76,115.96,60.81
2,67.73,115.99,60.79
2,67.73,115.97,60.81
2,67.74,115.95,60.81
2,67.73,115.94,60.81
2,67.72,115.93,60.8
2,67.72,115.95,60.79
2,67.72,115.98,60.79
2,67.8,115.95,60.81
2,67.8,115.97,60.83
2,67.79,115.96,60.81
2,67.75,116,60.79
2,67.76,116,60.77
2,67.73,116,60.77
2,67.78,115.99,60.79
2,67.8,115.99,60.81
2,67.82,115.99,60.81
2,67.83,115.99,60.82
2,67.71,115.94,60.79
2,67.71,115.96,60.77
2,67.71,115.99,60.77
2,67.71,115.86,60.75
2,67.71,115.91,60.77
2,67.71,115.88,60.75
2,67.83,115.97,60.83
2,67.84,115.95,60.85
2,67.81,115.96,60.83
2,67.81,115.93,60.81
2,67.84,115.99,60.81
2,67.75,115.88,60.79
2,67.74,115.87,60.79
2,67.71,115.85,60.79
2,67.71,115.83,60.77
2,67.9,115.97,60.85
2,67.9,115.99,60.85
2,67.87,115.98,60.79
2,67.9,115.99,60.82
2,67.87,115.96,60.83
2,67.73,115.84,60.79
2,67.73,115.84,60.77
2,67.73,115.83,60.78
2,67.72,115.84,60.75
2,67.78,115.91,60.79
2,67.77,115.89,60.79
2,67.75,115.88,60.77
2,67.73,115.86,60.76
2,67.74,115.87,60.77
2,67.82,115.92,60.81
2,67.81,115.9,60.81
2,67.8,115.92,60.79
2,67.77,115.95,60.79
2,67.78,115.93,60.79
2,67.74,115.92,60.79
2,67.73,115.91,60.77
2,67.76,115.94,60.79
2,67.77,115.92,60.79
2,67.75,115.91,60.79
2,67.74,115.9,60.77
2,67.73,115.88,60.75
2,67.75,115.98,60.79
2,67.77,115.97,60.79
2,67.76,115.98,60.77
2,67.76,115.96,60.79
2,67.73,115.99,60.77
2,67.73,115.97,60.79
2,67.74,115.95,60.79
2,67.73,115.94,60.79
2,67.73,115.96,60.77
2,67.72,115.98,60.77
2,67.8,115.97,60.81
2,67.79,115.96,60.79
2,67.83,115.96,60.81
2,67.81,115.96,60.81
2,67.8,115.95,60.79
2,67.78,115.99,60.77
2,67.75,116,60.77
2,67.76,116,60.75
2,67.72,116,60.75
2,67.81,115.99,60.78
2,67.71,115.96,60.76
2,67.71,115.94,60.77
2,67.71,115.99,60.75
2,67.72,115.87,60.75
2,67.72,115.91,60.75
2,67.72,115.9,60.75
2,67.72,115.88,60.74
