ppm NH3 Concentration mole,X (m),Y (m),Z (m)
332172,-99.57,68.66,40.29
472737,-99.57,68.67,40.29
25083,-99.56,68.66,40.28
10498,-99.56,68.66,40.28
85843,-99.56,68.66,40.28
75180,-99.57,68.66,40.29
41067,-99.57,68.66,40.29
104558,-99.57,68.66,40.29
49737,-99.57,68.66,40.29
45337,-99.57,68.67,40.29
17413,-99.57,68.66,40.29
906674,-99.58,68.67,40.32
907260,-99.57,68.67,40.32
901815,-99.57,68.67,40.32
909156,-99.58,68.67,40.32
880782,-99.57,68.67,40.33
901297,-99.57,68.67,40.32
509691,-99.57,68.67,40.3
624568,-99.58,68.67,40.3
506501,-99.58,68.67,40.3
729383,-99.58,68.67,40.3
812202,-99.58,68.67,40.31
378474,-99.57,68.67,40.3
370469,-99.58,68.67,40.3
184038,-99.57,68.67,40.29
272412,-99.57,68.67,40.29
892079,-99.58,68.67,40.31
854411,-99.58,68.67,40.31
878685,-99.58,68.67,40.31
23270,-99.57,68.67,40.29
8849,-99.57,68.67,40.29
1563,-99.54,68.64,40.3
40,-99.54,68.64,40.29
352,-99.54,68.65,40.29
31,-99.54,68.65,40.29
259,-99.55,68.65,40.29
1191,-99.55,68.65,40.28
81,-99.55,68.65,40.28
20521,-99.54,68.64,40.32
48681,-99.54,68.64,40.32
890555,-99.57,68.67,40.33
885761,-99.57,68.67,40.33
918213,-99.57,68.67,40.33
944893,-99.57,68.66,40.3
943367,-99.57,68.66,40.3
150507,-99.57,68.66,40.29
941034,-99.57,68.66,40.3
933709,-99.57,68.66,40.3
296384,-99.57,68.67,40.29
523108,-99.57,68.66,40.29
150119,-99.57,68.66,40.29
104562,-99.57,68.67,40.29
855992,-99.57,68.66,40.29
223449,-99.57,68.67,40.29
1362,-99.55,68.65,40.28
209,-99.55,68.65,40.28
346,-99.55,68.65,40.28
41639,-99.56,68.66,40.28
4263,-99.56,68.66,40.28
57,-99.56,68.66,40.28
93,-99.57,68.66,40.28
287602,-99.56,68.66,40.29
5537,-99.56,68.66,40.28
20584,-99.56,68.66,40.28
497,-99.56,68.66,40.28
785458,-99.56,68.66,40.29
51082,-99.56,68.66,40.28
434111,-99.56,68.66,40.29
140011,-99.56,68.66,40.29
35667,-99.56,68.66,40.28
6347,-99.56,68.66,40.28
785,-99.56,68.66,40.28
7877,-99.56,68.66,40.28
252487,-99.57,68.66,40.29
22982,-99.57,68.66,40.28
58979,-99.57,68.66,40.29
18522,-99.57,68.66,40.29
58893,-99.57,68.66,40.29
190213,-99.57,68.66,40.29
588,-99.57,68.66,40.28
4333,-99.57,68.66,40.28
4365,-99.57,68.66,40.28
57381,-99.57,68.66,40.29
26875,-99.57,68.67,40.29
52543,-99.57,68.66,40.29
8685,-99.57,68.67,40.29
19857,-99.57,68.66,40.29
9862,-99.57,68.66,40.28
932540,-99.58,68.67,40.31
935899,-99.58,68.67,40.31
851932,-99.58,68.67,40.32
925619,-99.58,68.67,40.32
929914,-99.58,68.67,40.31
915981,-99.57,68.67,40.32
908475,-99.57,68.67,40.32
794734,-99.58,68.67,40.32
828303,-99.58,68.67,40.32
917770,-99.58,68.67,40.32
809375,-99.57,68.67,40.33
840593,-99.57,68.67,40.33
853449,-99.57,68.67,40.32
886973,-99.57,68.67,40.32
752397,-99.58,68.67,40.33
770782,-99.58,68.67,40.32
752880,-99.58,68.67,40.32
756850,-99.58,68.67,40.32
847603,-99.58,68.67,40.3
910541,-99.58,68.67,40.31
816110,-99.57,68.67,40.3
719912,-99.57,68.67,40.3
512773,-99.58,68.67,40.3
740423,-99.58,68.67,40.3
395713,-99.58,68.67,40.3
566908,-99.58,68.67,40.3
509341,-99.58,68.67,40.3
602909,-99.58,68.67,40.31
401769,-99.58,68.67,40.3
308899,-99.58,68.67,40.3
352543,-99.57,68.67,40.3
558306,-99.57,68.67,40.3
264873,-99.58,68.67,40.3
402052,-99.58,68.67,40.3
63707,-99.57,68.67,40.29
120238,-99.57,68.67,40.29
188127,-99.57,68.67,40.29
51101,-99.58,68.67,40.29
95509,-99.58,68.67,40.29
168688,-99.58,68.67,40.3
229913,-99.58,68.67,40.3
752113,-99.58,68.67,40.32
742705,-99.58,68.67,40.31
670286,-99.58,68.67,40.31
714782,-99.58,68.67,40.31
15864,-99.58,68.67,40.29
22832,-99.58,68.66,40.29
14187,-99.58,68.67,40.29
4665,-99.58,68.67,40.29
8869,-99.58,68.66,40.29
5387,-99.58,68.67,40.29
13666,-99.58,68.67,40.29
936,-99.53,68.64,40.32
721,-99.54,68.64,40.33
682,-99.54,68.64,40.33
9158,-99.54,68.65,40.33
6573,-99.54,68.65,40.33
94361,-99.54,68.65,40.33
67629,-99.54,68.65,40.33
639594,-99.55,68.65,40.33
57265,-99.55,68.65,40.34
261903,-99.56,68.65,40.34
902865,-99.56,68.66,40.34
925148,-99.56,68.66,40.33
871509,-99.56,68.66,40.34
920842,-99.56,68.66,40.33
915271,-99.57,68.66,40.33
920472,-99.57,68.66,40.33
921379,-99.57,68.66,40.33
888345,-99.57,68.66,40.33
