ppm NH3 Concentration mole,X (m),Y (m),Z (m)
33,-58.57,-134.71,21.39
34,-58.56,-134.68,21.5
26,-57.23,-134.68,21.78
47,-59.25,-134.79,21.49
47,-59.17,-134.68,21.52
38,-58.8,-134.84,21.43
40,-58.82,-134.68,21.52
26,-58.36,-134.86,21.37
38,-58.56,-134.78,21.56
29,-58.12,-134.8,21.53
26,-57.64,-134.68,21.78
28,-58.36,-134.68,21.49
39,-58.56,-134.68,21.78
31,-58.11,-134.68,21.78
49,-60.1,-134.75,21.6
49,-60.07,-134.68,21.77
45,-63.01,-134.73,21.98
46,-62.99,-134.68,22.14
47,-61.69,-134.79,21.81
49,-60.57,-134.74,21.66
49,-61.01,-134.71,21.72
48,-61.61,-134.68,21.85
49,-61,-134.68,21.83
49,-60.55,-134.68,21.81
26,-57.24,-134.82,21.78
36,-57.23,-134.68,22.1
48,-59.68,-135.14,21.58
48,-59.71,-135.11,21.56
49,-59.91,-134.95,21.59
48,-59.91,-135.14,21.77
46,-59.27,-135.11,21.5
45,-59.27,-135.14,21.55
43,-59.05,-134.98,21.47
40,-58.99,-135.14,21.54
48,-59.48,-134.97,21.53
45,-59.48,-135.14,21.57
47,-59.21,-134.84,21.6
49,-59.69,-134.8,21.55
47,-59.24,-134.68,21.76
49,-59.67,-134.68,21.75
29,-58.58,-135.14,21.52
31,-58.59,-135.03,21.41
42,-58.78,-134.86,21.58
43,-58.82,-134.68,21.78
26,-57.91,-134.89,21.51
29,-57.65,-134.81,21.79
34,-58.34,-134.88,21.55
41,-58.56,-134.78,21.79
34,-58.12,-134.8,21.79
27,-57.91,-134.68,21.78
38,-57.63,-134.68,22.1
35,-58.35,-134.68,21.78
46,-58.55,-134.68,22.11
41,-58.11,-134.68,22.1
48,-60.37,-135.14,21.76
49,-60.36,-134.89,21.64
48,-60.09,-134.81,21.82
49,-60.35,-134.68,21.79
49,-60.07,-134.68,22.12
31,-56.79,-134.68,22.09
26,-56.38,-134.68,22.09
45,-63.45,-134.71,22.04
45,-63.44,-134.68,22.17
45,-63.24,-134.86,22.02
45,-63.23,-134.68,22.15
46,-61.71,-135.11,21.83
45,-61.69,-135.15,21.87
47,-61.8,-134.95,21.83
46,-62.54,-134.75,21.92
47,-62.13,-134.78,21.87
47,-62.51,-134.68,22.1
47,-62.11,-134.68,22.08
45,-62.6,-135.06,21.94
44,-62.61,-135.14,22.13
44,-62.81,-135.14,22.08
45,-62.8,-134.89,21.96
45,-62.99,-134.8,22.19
46,-62.79,-134.68,22.12
