ppm NH3 Concentration mole,X (m),Y (m),Z (m)
819089,-99.57,68.66,40.29
674911,-99.57,68.67,40.29
196005,-99.56,68.66,40.28
14492,-99.56,68.66,40.28
224495,-99.56,68.66,40.28
518390,-99.57,68.66,40.29
221177,-99.57,68.66,40.29
630077,-99.57,68.66,40.29
402520,-99.57,68.66,40.29
384352,-99.57,68.67,40.29
169808,-99.57,68.66,40.29
878703,-99.58,68.67,40.32
881724,-99.57,68.67,40.32
852555,-99.57,68.67,40.32
879073,-99.58,68.67,40.32
675342,-99.57,68.67,40.33
785763,-99.57,68.67,40.32
858580,-99.57,68.67,40.3
866659,-99.58,68.67,40.3
844891,-99.58,68.67,40.3
876147,-99.58,68.67,40.3
883797,-99.58,68.67,40.31
795623,-99.57,68.67,40.3
802744,-99.58,68.67,40.3
621843,-99.57,68.67,40.29
703589,-99.57,68.67,40.29
882550,-99.58,68.67,40.31
886635,-99.58,68.67,40.31
889034,-99.58,68.67,40.31
264744,-99.57,68.67,40.29
122735,-99.57,68.67,40.29
722937,-99.57,68.67,40.33
642362,-99.57,68.67,40.33
818390,-99.57,68.67,40.33
945781,-99.57,68.66,40.3
942818,-99.57,68.66,40.3
785444,-99.57,68.66,40.29
935465,-99.57,68.66,40.3
919663,-99.57,68.66,40.3
757797,-99.57,68.67,40.29
865533,-99.57,68.66,40.29
605628,-99.57,68.66,40.29
514775,-99.57,68.67,40.29
916603,-99.57,68.66,40.29
634516,-99.57,68.67,40.29
151773,-99.56,68.66,40.28
3366,-99.56,68.66,40.28
98,-99.57,68.66,40.28
320040,-99.56,68.66,40.29
7059,-99.56,68.66,40.28
30046,-99.56,68.66,40.28
122,-99.56,68.66,40.28
837121,-99.56,68.66,40.29
190644,-99.56,68.66,40.28
468108,-99.56,68.66,40.29
589750,-99.56,68.66,40.29
166829,-99.56,68.66,40.28
13473,-99.56,68.66,40.28
448,-99.56,68.66,40.28
16202,-99.56,68.66,40.28
582628,-99.57,68.66,40.29
165594,-99.57,68.66,40.28
260066,-99.57,68.66,40.29
161302,-99.57,68.66,40.29
488241,-99.57,68.66,40.29
665842,-99.57,68.66,40.29
972,-99.57,68.66,40.28
16372,-99.57,68.66,40.28
20265,-99.57,68.66,40.28
279391,-99.57,68.66,40.29
289101,-99.57,68.67,40.29
282239,-99.57,68.66,40.29
113344,-99.57,68.67,40.29
125963,-99.57,68.66,40.29
115783,-99.57,68.66,40.28
900659,-99.58,68.67,40.31
900235,-99.58,68.67,40.31
754981,-99.58,68.67,40.32
885112,-99.58,68.67,40.32
893171,-99.58,68.67,40.31
840932,-99.57,68.67,40.32
820950,-99.57,68.67,40.32
627423,-99.58,68.67,40.32
688194,-99.58,68.67,40.32
883915,-99.58,68.67,40.32
532460,-99.57,68.67,40.33
581058,-99.57,68.67,40.33
681771,-99.57,68.67,40.32
742686,-99.57,68.67,40.32
466804,-99.58,68.67,40.33
550549,-99.58,68.67,40.32
553827,-99.58,68.67,40.32
583744,-99.58,68.67,40.32
884342,-99.58,68.67,40.3
895536,-99.58,68.67,40.31
826626,-99.57,68.67,40.3
812901,-99.57,68.67,40.3
748445,-99.58,68.67,40.3
869237,-99.58,68.67,40.3
687910,-99.58,68.67,40.3
825054,-99.58,68.67,40.3
639950,-99.58,68.67,40.3
642628,-99.58,68.67,40.31
605275,-99.58,68.67,40.3
569492,-99.58,68.67,40.3
649888,-99.57,68.67,40.3
782072,-99.57,68.67,40.3
610063,-99.58,68.67,40.3
749165,-99.58,68.67,40.3
398281,-99.57,68.67,40.29
514692,-99.57,68.67,40.29
528662,-99.57,68.67,40.29
347540,-99.58,68.67,40.29
425092,-99.58,68.67,40.29
518980,-99.58,68.67,40.3
531158,-99.58,68.67,40.3
614716,-99.58,68.67,40.32
646558,-99.58,68.67,40.31
646854,-99.58,68.67,40.31
647859,-99.58,68.67,40.31
209108,-99.58,68.67,40.29
116094,-99.58,68.66,40.29
192289,-99.58,68.67,40.29
78614,-99.58,68.67,40.29
56227,-99.58,68.66,40.29
84817,-99.58,68.67,40.29
174845,-99.58,68.67,40.29
153032,-99.56,68.66,40.34
181973,-99.56,68.66,40.33
15548,-99.56,68.66,40.34
117602,-99.56,68.66,40.33
538763,-99.57,68.66,40.33
662064,-99.57,68.66,40.33
746087,-99.57,68.66,40.33
253255,-99.57,68.66,40.33
182684,-99.57,68.66,40.33
400710,-99.57,68.66,40.33
608516,-99.57,68.66,40.33
409578,-99.57,68.66,40.33
575585,-99.57,68.67,40.33
3419,-99.56,68.66,40.34
84664,-99.54,68.64,40.3
4876,-99.54,68.65,40.29
102700,-99.55,68.65,40.29
604,-99.55,68.65,40.29
13433,-99.54,68.64,40.32
253566,-99.54,68.64,40.32
661,-99.54,68.64,40.32
126665,-99.54,68.64,40.32
907229,-99.56,68.66,40.32
912967,-99.56,68.66,40.33
863226,-99.57,68.66,40.32
862553,-99.57,68.66,40.32
768678,-99.57,68.66,40.32
860371,-99.57,68.66,40.32
771485,-99.57,68.66,40.33
877839,-99.57,68.66,40.33
611137,-99.57,68.66,40.32
729819,-99.57,68.67,40.32
635436,-99.57,68.66,40.32
602836,-99.57,68.66,40.33
594475,-99.57,68.67,40.33
710227,-99.57,68.67,40.32
866739,-99.57,68.66,40.31
864653,-99.57,68.66,40.32
881471,-99.57,68.66,40.31
881118,-99.57,68.66,40.31
940996,-99.57,68.66,40.31
952591,-99.57,68.66,40.31
829649,-99.57,68.67,40.31
835414,-99.57,68.67,40.31
614768,-99.57,68.66,40.32
850614,-99.57,68.67,40.31
732635,-99.57,68.67,40.32
843939,-99.57,68.67,40.32
877730,-99.57,68.66,40.31
874707,-99.57,68.66,40.3
871957,-99.57,68.66,40.3
867774,-99.57,68.66,40.3
933811,-99.57,68.66,40.31
931919,-99.57,68.66,40.3
821946,-99.57,68.67,40.31
823713,-99.57,68.67,40.3
583038,-99.57,68.66,40.3
573462,-99.57,68.66,40.3
712544,-99.57,68.67,40.3
700866,-99.57,68.67,40.3
720969,-99.56,68.66,40.29
874280,-99.56,68.66,40.29
875875,-99.56,68.66,40.29
863262,-99.57,68.66,40.3
858626,-99.57,68.66,40.3
729724,-99.57,68.66,40.29
727920,-99.57,68.66,40.29
829143,-99.57,68.66,40.29
862284,-99.57,68.66,40.29
559824,-99.57,68.66,40.3
536496,-99.57,68.66,40.3
643669,-99.57,68.67,40.3
694205,-99.57,68.67,40.3
435954,-99.57,68.66,40.29
423030,-99.57,68.66,40.29
512947,-99.57,68.66,40.29
571872,-99.57,68.67,40.29
113295,-99.55,68.65,40.29
4759,-99.55,68.65,40.29
301586,-99.55,68.65,40.29
44885,-99.55,68.65,40.29
572631,-99.55,68.65,40.29
509006,-99.56,68.66,40.29
154404,-99.55,68.65,40.29
36991,-99.55,68.65,40.28
212277,-99.56,68.66,40.29
14426,-99.56,68.65,40.28
580,-99.56,68.65,40.28
44,-99.56,68.65,40.28
44,-99.57,68.66,40.28
214,-99.57,68.66,40.28
95,-99.57,68.66,40.28
78830,-99.56,68.66,40.29
7741,-99.56,68.66,40.28
293,-99.56,68.66,40.28
375256,-99.56,68.66,40.29
139713,-99.56,68.66,40.29
501002,-99.56,68.66,40.29
185051,-99.56,68.66,40.29
10927,-99.56,68.66,40.28
165,-99.56,68.66,40.28
777,-99.56,68.66,40.28
663,-99.56,68.66,40.28
10004,-99.56,68.66,40.28
24239,-99.56,68.66,40.28
205678,-99.57,68.66,40.29
91869,-99.57,68.66,40.29
102086,-99.57,68.66,40.29
275983,-99.57,68.66,40.29
686,-99.57,68.66,40.28
896,-99.57,68.66,40.28
1247,-99.57,68.66,40.28
10688,-99.57,68.66,40.28
12117,-99.57,68.66,40.28
19253,-99.57,68.66,40.28
103295,-99.57,68.66,40.29
121846,-99.57,68.66,40.29
1998,-99.57,68.66,40.28
19530,-99.57,68.66,40.28
50666,-99.57,68.66,40.29
49059,-99.57,68.66,40.29
16387,-99.57,68.66,40.28
275780,-99.57,68.67,40.33
404978,-99.57,68.67,40.33
525721,-99.58,68.67,40.31
526967,-99.58,68.67,40.31
519811,-99.58,68.67,40.32
528860,-99.58,68.67,40.31
476629,-99.58,68.67,40.32
516145,-99.58,68.67,40.31
537985,-99.58,68.67,40.31
531954,-99.58,68.67,40.31
435020,-99.58,68.67,40.32
423707,-99.58,68.67,40.32
438282,-99.58,68.67,40.32
494366,-99.58,68.67,40.32
310348,-99.58,68.67,40.33
378990,-99.58,68.67,40.32
393823,-99.58,68.67,40.33
293796,-99.58,68.67,40.33
360795,-99.58,68.67,40.32
328571,-99.58,68.67,40.33
351331,-99.58,68.67,40.32
414397,-99.58,68.67,40.32
381140,-99.58,68.67,40.32
456007,-99.58,68.67,40.32
410671,-99.58,68.67,40.32
407431,-99.58,68.67,40.32
497160,-99.58,68.67,40.32
435861,-99.58,68.67,40.32
506519,-99.58,68.67,40.3
516884,-99.58,68.67,40.31
410347,-99.58,68.67,40.3
