ppm NH3 Concentration mole,X (m),Y (m),Z (m)
460709,-99.57,68.66,40.29
557976,-99.57,68.67,40.29
37362,-99.56,68.66,40.28
15426,-99.56,68.66,40.28
121105,-99.56,68.66,40.28
138492,-99.57,68.66,40.29
65671,-99.57,68.66,40.29
191386,-99.57,68.66,40.29
94444,-99.57,68.66,40.29
89052,-99.57,68.67,40.29
35904,-99.57,68.66,40.29
849050,-99.58,68.67,40.32
850348,-99.57,68.67,40.32
839436,-99.57,68.67,40.32
848946,-99.58,68.67,40.32
765530,-99.57,68.67,40.33
817823,-99.57,68.67,40.32
689201,-99.57,68.67,40.3
756526,-99.58,68.67,40.3
687899,-99.58,68.67,40.3
800687,-99.58,68.67,40.3
819605,-99.58,68.67,40.31
578259,-99.57,68.67,40.3
570187,-99.58,68.67,40.3
326469,-99.57,68.67,40.29
441487,-99.57,68.67,40.29
837815,-99.58,68.67,40.31
826891,-99.58,68.67,40.31
833780,-99.58,68.67,40.31
55757,-99.57,68.67,40.29
27804,-99.57,68.67,40.29
17497,-99.54,68.64,40.3
47,-99.54,68.64,40.29
60,-99.54,68.64,40.29
224,-99.54,68.64,40.29
1655,-99.54,68.65,40.29
7388,-99.54,68.65,40.29
32394,-99.55,68.65,40.29
50,-99.54,68.64,40.29
60,-99.54,68.64,40.29
51,-99.54,68.64,40.28
60,-99.54,68.64,40.28
72,-99.54,68.64,40.28
80,-99.54,68.64,40.29
210,-99.54,68.65,40.29
71,-99.54,68.64,40.28
89,-99.54,68.64,40.28
88,-99.54,68.64,40.28
1217,-99.55,68.65,40.29
3823,-99.55,68.65,40.28
157,-99.55,68.65,40.28
367,-99.55,68.65,40.28
81,-99.54,68.64,40.28
22661,-99.54,68.64,40.32
75056,-99.54,68.64,40.32
181335,-99.54,68.64,40.32
745877,-99.57,68.67,40.33
753225,-99.57,68.67,40.33
830196,-99.57,68.67,40.33
918150,-99.57,68.66,40.3
919453,-99.57,68.66,40.3
290537,-99.57,68.66,40.29
921666,-99.57,68.66,40.3
924657,-99.57,68.66,40.3
487032,-99.57,68.67,40.29
624602,-99.57,68.66,40.29
252851,-99.57,68.66,40.29
189063,-99.57,68.67,40.29
881506,-99.57,68.66,40.29
364702,-99.57,68.67,40.29
3840,-99.55,68.65,40.28
679,-99.55,68.65,40.28
1863,-99.55,68.65,40.28
46577,-99.56,68.66,40.28
12353,-99.55,68.65,40.28
6846,-99.56,68.66,40.28
1174,-99.56,68.66,40.28
3186,-99.57,68.66,40.28
299573,-99.56,68.66,40.29
8533,-99.56,68.66,40.28
25393,-99.56,68.66,40.28
