ppm NH3 Concentration mole,X (m),Y (m),Z (m)
6964,-87.16,90.89,50.3
6968,-87.17,90.88,50.3
6963,-87.17,90.88,50.3
6963,-87.17,90.88,50.31
6985,-87.12,90.64,50.33
7004,-87.19,90.65,50.3
6999,-87.19,90.65,50.3
7007,-87.19,90.65,50.32
7009,-87.22,90.67,50.32
7010,-87.21,90.66,50.32
6963,-87.16,90.89,50.31
6963,-87.15,90.89,50.3
6962,-87.15,90.89,50.3
6963,-87.15,90.89,50.31
6960,-87.13,90.89,50.31
6943,-87.13,90.89,50.3
6952,-87.15,90.89,50.3
6943,-87.15,90.89,50.3
6955,-87.16,90.89,50.3
6943,-87.16,90.89,50.31
6942,-87.17,90.89,50.31
6969,-87.17,90.88,50.3
6949,-87.17,90.89,50.31
6969,-87.18,90.88,50.3
6952,-87.18,90.89,50.3
6960,-87.18,90.88,50.3
6969,-87.19,90.87,50.3
6964,-87.19,90.88,50.3
6961,-87.18,90.88,50.31
6955,-87.17,90.88,50.32
6962,-87.19,90.87,50.31
6960,-87.2,90.87,50.31
6968,-87.2,90.87,50.3
6954,-87.2,90.86,50.32
7006,-87.25,90.76,50.31
6996,-87.24,90.83,50.31
6992,-87.24,90.83,50.33
6985,-87.09,90.63,50.32
6982,-87.11,90.64,50.32
6991,-87.12,90.63,50.31
6989,-87.12,90.63,50.32
6995,-87.12,90.63,50.32
6980,-87.11,90.63,50.33
6984,-87.12,90.63,50.33
7008,-87.23,90.68,50.33
7010,-87.22,90.67,50.32
7009,-87.22,90.67,50.32
7019,-87.22,90.66,50.32
7006,-87.21,90.66,50.3
7020,-87.21,90.66,50.32
7009,-87.21,90.66,50.32
7003,-87.21,90.66,50.3
7005,-87.2,90.66,50.3
7008,-87.2,90.66,50.32
7004,-87.2,90.65,50.3
7002,-87.15,90.64,50.31
7006,-87.18,90.64,50.31
7005,-87.2,90.65,50.3
7013,-87.19,90.65,50.31
7016,-87.19,90.65,50.31
7006,-87.2,90.65,50.3
6999,-87.18,90.64,50.3
6998,-87.15,90.63,50.3
6987,-87.12,90.63,50.3
7009,-87.2,90.66,50.32
7021,-87.21,90.65,50.32
7008,-87.19,90.65,50.33
7020,-87.2,90.64,50.32
7008,-87.22,90.67,50.33
7008,-87.21,90.66,50.33
7004,-87.18,90.64,50.33
6996,-87.15,90.63,50.33
7007,-87.25,90.75,50.31
7004,-87.26,90.76,50.33
7005,-87.23,90.68,50.3
7008,-87.23,90.68,50.32
7018,-87.23,90.68,50.32
6983,-87.09,90.64,50.32
6984,-87.09,90.64,50.31
6978,-87.09,90.64,50.32
6974,-87.1,90.63,50.33
6967,-87.03,90.85,50.32
6972,-87,90.77,50.31
6976,-87,90.76,50.3
6960,-87.1,90.89,50.31
6982,-87.05,90.86,50.31
6983,-87.04,90.85,50.31
6971,-87.04,90.85,50.32
6938,-87.16,90.89,50.31
6940,-87.17,90.89,50.32
6958,-87.15,90.89,50.32
6946,-87.16,90.89,50.33
6962,-87.14,90.89,50.31
6937,-87.15,90.9,50.31
6942,-87.15,90.89,50.31
6934,-87.15,90.9,50.31
6939,-87.15,90.89,50.31
6963,-87.1,90.89,50.32
6961,-87.13,90.89,50.32
6960,-87.11,90.89,50.31
6939,-87.13,90.9,50.31
6936,-87.11,90.9,50.3
6953,-87.1,90.89,50.33
6949,-87.13,90.89,50.33
6942,-87.1,90.89,50.31
6967,-87.08,90.88,50.31
6967,-87.03,90.86,50.33
6971,-87,90.79,50.31
6976,-87.03,90.85,50.31
6977,-87.03,90.85,50.3
7007,-87.25,90.73,50.31
6937,-87.14,90.9,50.3
6934,-87.16,90.9,50.3
6940,-87.17,90.9,50.3
6935,-87.17,90.9,50.31
6936,-87.18,90.89,50.31
6940,-87.18,90.89,50.31
6938,-87.18,90.89,50.31
6944,-87.18,90.89,50.31
6933,-87.18,90.9,50.3
6937,-87.19,90.89,50.3
6965,-87.2,90.87,50.3
6939,-87.19,90.88,50.31
6944,-87.19,90.88,50.31
6942,-87.2,90.89,50.3
6941,-87.2,90.88,50.3
6954,-87.18,90.88,50.32
6951,-87.17,90.88,50.33
6956,-87.19,90.87,50.32
6937,-87.2,90.88,50.32
6950,-87.21,90.87,50.33
6957,-87.21,90.86,50.31
6940,-87.2,90.87,50.31
6943,-87.2,90.87,50.31
6946,-87.21,90.87,50.32
6999,-87.24,90.83,50.3
6963,-87.22,90.85,50.31
6965,-87.23,90.85,50.33
7012,-87.26,90.76,50.3
7005,-87.25,90.78,50.31
7012,-87.26,90.76,50.31
7005,-87.26,90.77,50.33
6999,-87.24,90.81,50.31
6986,-87.25,90.82,50.33
6981,-87.23,90.84,50.31
6996,-87.24,90.83,50.31
6982,-87.24,90.84,50.33
7004,-87.25,90.82,50.3
7002,-87.25,90.8,50.31
6999,-87.26,90.8,50.33
6977,-87.08,90.63,50.32
6992,-87.09,90.63,50.32
6986,-87.11,90.63,50.32
6991,-87.11,90.63,50.32
6992,-87.09,90.63,50.31
6989,-87.11,90.63,50.31
6989,-87.11,90.62,50.3
7002,-87.12,90.63,50.31
7001,-87.12,90.63,50.32
6998,-87.14,90.63,50.31
6980,-87.11,90.62,50.33
6987,-87.14,90.63,50.33
7009,-87.22,90.67,50.32
7006,-87.22,90.67,50.3
7009,-87.23,90.68,50.33
7023,-87.24,90.68,50.32
7009,-87.22,90.67,50.32
7023,-87.23,90.67,50.32
7012,-87.24,90.69,50.33
7009,-87.22,90.67,50.31
7020,-87.22,90.66,50.32
7006,-87.22,90.67,50.3
7023,-87.22,90.66,50.32
7017,-87.21,90.66,50.31
7023,-87.22,90.65,50.32
7021,-87.21,90.66,50.31
7010,-87.22,90.66,50.3
7012,-87.22,90.66,50.3
7017,-87.21,90.65,50.31
7020,-87.21,90.65,50.31
7015,-87.21,90.65,50.3
7017,-87.21,90.64,50.3
7004,-87.16,90.64,50.31
7012,-87.15,90.63,50.31
7017,-87.2,90.64,50.31
7020,-87.2,90.64,50.31
7018,-87.18,90.64,50.31
7020,-87.19,90.63,50.32
7015,-87.19,90.63,50.3
7000,-87.17,90.63,50.3
6996,-87.14,90.63,50.3
7008,-87.2,90.65,50.33
7023,-87.21,90.65,50.32
7008,-87.2,90.65,50.33
7025,-87.21,90.64,50.32
7009,-87.22,90.66,50.33
7010,-87.22,90.65,50.33
7011,-87.19,90.63,50.33
7003,-87.16,90.63,50.33
7012,-87.28,90.76,50.33
7019,-87.26,90.75,50.3
7008,-87.23,90.68,50.3
7020,-87.27,90.75,50.31
7017,-87.26,90.73,50.31
7008,-87.26,90.75,50.33
7007,-87.26,90.73,50.33
7008,-87.25,90.71,50.31
7011,-87.25,90.71,50.33
7017,-87.23,90.68,50.31
7019,-87.23,90.68,50.32
7009,-87.24,90.69,50.33
7008,-87.24,90.7,50.31
7024,-87.24,90.68,50.32
6975,-87.08,90.64,50.31
6980,-87.09,90.63,50.3
6972,-87,90.75,50.31
6972,-87,90.74,50.31
6975,-87,90.74,50.3
6976,-87,90.74,50.32
6980,-87,90.74,50.33
6972,-87.06,90.65,50.32
6971,-87.08,90.64,50.32
6973,-87.08,90.63,50.33
6972,-87.07,90.63,50.32
6973,-87.01,90.71,50.31
6975,-87,90.71,50.3
6978,-87.01,90.69,50.31
6977,-87.02,90.69,50.32
6980,-87.04,90.66,50.33
6980,-87.02,90.7,50.33
6983,-87.02,90.67,50.33
6974,-87,90.81,50.31
6977,-87,90.79,50.3
6971,-87.03,90.85,50.31
6970,-87.03,90.85,50.31
6968,-87.03,90.85,50.32
6973,-87.01,90.81,50.32
6967,-87.03,90.84,50.32
6976,-87.01,90.81,50.33
6968,-87.03,90.85,50.33
6980,-86.99,90.75,50.3
6975,-87,90.77,50.32
6979,-87,90.77,50.33
6979,-86.99,90.77,50.31
6972,-87,90.78,50.31
6980,-86.99,90.78,50.3
6974,-87,90.79,50.32
6978,-87,90.79,50.33
6979,-86.99,90.79,50.31
6940,-87.1,90.89,50.3
6957,-87.09,90.88,50.31
6975,-87.06,90.87,50.31
6951,-87.07,90.88,50.3
6977,-87.04,90.86,50.3
6979,-87.04,90.85,50.3
6977,-87.05,90.86,50.32
6973,-87.06,90.87,50.32
6966,-87.06,90.87,50.31
6969,-87.06,90.87,50.33
6968,-87.04,90.86,50.33
6974,-87.04,90.87,50.31
6974,-87.03,90.86,50.31
6977,-87.04,90.87,50.31
6975,-87.03,90.86,50.31
6970,-87.03,90.86,50.32
6933,-87.17,90.9,50.31
