ppm NH3 Concentration mole,X (m),Y (m),Z (m)
564108,-99.57,68.66,40.29
414330,-99.57,68.67,40.29
277757,-99.56,68.66,40.28
140479,-99.56,68.66,40.28
246124,-99.56,68.66,40.28
392513,-99.57,68.66,40.29
240596,-99.57,68.66,40.29
423784,-99.57,68.66,40.29
232061,-99.57,68.66,40.29
205152,-99.57,68.67,40.29
172247,-99.57,68.66,40.29
787808,-99.58,68.67,40.32
828900,-99.57,68.67,40.32
798848,-99.57,68.67,40.32
807197,-99.58,68.67,40.32
640035,-99.57,68.67,40.33
750548,-99.57,68.67,40.32
801481,-99.57,68.67,40.3
772501,-99.58,68.67,40.3
750532,-99.58,68.67,40.3
798531,-99.58,68.67,40.3
809957,-99.58,68.67,40.31
657540,-99.57,68.67,40.3
654252,-99.58,68.67,40.3
286578,-99.57,68.67,40.29
465349,-99.57,68.67,40.29
785956,-99.58,68.67,40.31
815125,-99.58,68.67,40.31
808583,-99.58,68.67,40.31
161950,-99.57,68.67,40.29
137877,-99.57,68.67,40.29
35222,-99.54,68.64,40.3
28873,-99.54,68.64,40.29
33160,-99.54,68.64,40.29
38711,-99.54,68.64,40.29
43059,-99.54,68.65,40.29
45463,-99.54,68.65,40.29
25079,-99.54,68.64,40.29
28905,-99.54,68.64,40.29
22121,-99.54,68.64,40.28
26914,-99.54,68.64,40.28
24911,-99.54,68.64,40.28
33150,-99.54,68.64,40.29
37931,-99.54,68.65,40.29
32304,-99.54,68.64,40.28
36669,-99.54,68.64,40.28
33339,-99.54,68.64,40.28
44823,-99.55,68.65,40.29
48874,-99.55,68.65,40.28
42830,-99.55,68.65,40.28
51447,-99.55,68.65,40.28
28731,-99.54,68.64,40.28
43595,-99.54,68.64,40.32
53812,-99.54,68.64,40.32
11237,-99.54,68.64,40.32
681743,-99.57,68.67,40.33
621987,-99.57,68.67,40.33
811569,-99.57,68.67,40.33
890900,-99.57,68.66,40.3
887796,-99.57,68.66,40.3
499554,-99.57,68.66,40.29
882958,-99.57,68.66,40.3
876152,-99.57,68.66,40.3
615545,-99.57,68.67,40.29
723079,-99.57,68.66,40.29
329135,-99.57,68.66,40.29
234030,-99.57,68.67,40.29
853136,-99.57,68.66,40.29
326299,-99.57,68.67,40.29
89815,-99.55,68.65,40.28
138172,-99.55,68.65,40.28
61545,-99.55,68.65,40.28
80453,-99.55,68.65,40.28
302988,-99.56,68.66,40.28
86493,-99.55,68.65,40.28
119517,-99.56,68.66,40.28
77828,-99.56,68.66,40.28
85381,-99.57,68.66,40.28
531223,-99.56,68.66,40.29
118128,-99.56,68.66,40.28
191438,-99.56,68.66,40.28
87153,-99.56,68.66,40.28
825299,-99.56,68.66,40.29
195471,-99.56,68.66,40.28
574092,-99.56,68.66,40.29
536151,-99.56,68.66,40.29
226519,-99.56,68.66,40.28
124714,-99.56,68.66,40.28
95391,-99.56,68.66,40.28
141911,-99.56,68.66,40.28
524698,-99.57,68.66,40.29
195067,-99.57,68.66,40.28
253277,-99.57,68.66,40.29
180358,-99.57,68.66,40.29
299732,-99.57,68.66,40.29
524151,-99.57,68.66,40.29
101163,-99.57,68.66,40.28
130047,-99.57,68.66,40.28
132154,-99.57,68.66,40.28
192630,-99.57,68.66,40.29
176990,-99.57,68.67,40.29
178329,-99.57,68.66,40.29
140484,-99.57,68.67,40.29
164970,-99.57,68.66,40.29
148172,-99.57,68.66,40.28
37192,-99.53,68.64,40.32
839704,-99.58,68.67,40.31
833184,-99.58,68.67,40.31
554505,-99.58,68.67,40.32
812402,-99.58,68.67,40.32
813070,-99.58,68.67,40.31
810704,-99.57,68.67,40.32
788679,-99.57,68.67,40.32
428187,-99.58,68.67,40.32
459965,-99.58,68.67,40.32
821193,-99.58,68.67,40.32
460913,-99.57,68.67,40.33
518732,-99.57,68.67,40.33
593057,-99.57,68.67,40.32
703689,-99.57,68.67,40.32
361441,-99.58,68.67,40.33
399158,-99.58,68.67,40.32
327338,-99.58,68.67,40.32
340267,-99.58,68.67,40.32
820986,-99.58,68.67,40.3
836108,-99.58,68.67,40.31
786639,-99.57,68.67,40.3
754280,-99.57,68.67,40.3
559707,-99.58,68.67,40.3
802097,-99.58,68.67,40.3
490367,-99.58,68.67,40.3
732027,-99.58,68.67,40.3
366574,-99.58,68.67,40.3
357976,-99.58,68.67,40.31
