ppm NH3 Concentration mole,X (m),Y (m),Z (m)
34,-84.74,87.11,40.24
34,-84.74,87.15,40.21
34,-84.71,87.18,40.21
35,-84.73,87.2,40.21
33,-84.69,87.15,40.22
34,-84.72,87.12,40.21
35,-84.77,87.12,40.21
35,-84.78,87.12,40.25
34,-84.73,87.09,40.25
34,-84.72,87.06,40.25
36,-84.81,87.03,40.46
36,-84.79,87.09,40.33
34,-84.73,87.09,40.27
34,-84.71,87.12,40.25
34,-84.69,87.14,40.25
36,-84.78,87.09,40.4
34,-84.72,87.14,40.24
35,-84.74,87.11,40.27
34,-84.71,87.2,40.24
34,-84.7,87.17,40.25
36,-84.77,87.13,40.31
35,-84.76,87.16,40.25
35,-84.74,87.2,40.25
34,-84.69,87.2,40.21
34,-84.71,87.22,40.21
33,-84.67,87.14,40.22
32,-84.65,87.11,40.23
33,-84.68,87.09,40.22
33,-84.73,87.07,40.22
34,-84.75,87.1,40.21
36,-84.8,87.09,40.25
34,-84.74,87.04,40.25
35,-84.76,87.07,40.27
34,-84.76,87.06,40.24
33,-84.71,87.06,40.27
34,-84.74,87.04,40.27
36,-84.83,87.01,40.49
36,-84.82,87.02,40.41
36,-84.83,87.03,40.33
36,-84.86,86.97,40.39
36,-84.87,86.95,40.48
36,-84.92,86.89,40.48
36,-84.8,87.07,40.51
34,-84.76,87.01,40.46
36,-84.78,87.08,40.47
32,-84.65,87.06,40.28
34,-84.73,87.07,40.42
34,-84.73,87.06,40.33
33,-84.68,87.09,40.27
34,-84.7,87.12,40.27
33,-84.65,87.11,40.28
33,-84.67,87.14,40.27
35,-84.74,87.15,40.41
34,-84.74,87.11,40.31
34,-84.72,87.14,40.27
35,-84.71,87.2,40.27
34,-84.69,87.21,40.25
34,-84.7,87.17,40.27
34,-84.68,87.2,40.25
36,-84.74,87.18,40.33
35,-84.74,87.24,40.25
33,-84.67,87.2,40.22
34,-84.71,87.24,40.21
32,-84.63,87.17,40.23
35,-84.73,87.26,40.24
36,-84.83,87.02,40.61
36,-84.84,87.01,40.56
34,-84.78,87,40.33
32,-84.65,87.06,40.23
33,-84.71,87.06,40.22
34,-84.75,87.04,40.21
34,-84.78,87.07,40.21
36,-84.83,87.04,40.25
33,-84.7,87.01,40.28
35,-84.79,87.01,40.27
35,-84.82,86.95,40.32
35,-84.83,86.96,40.27
36,-84.88,86.97,40.24
34,-84.78,86.98,40.5
34,-84.77,87,40.4
35,-84.81,86.95,40.39
36,-84.87,86.95,40.42
36,-84.91,86.91,40.24
36,-84.87,86.97,40.32
36,-84.95,86.83,40.47
35,-84.86,86.88,40.28
35,-84.82,86.92,40.5
36,-84.88,86.95,40.56
36,-84.92,86.9,40.55
35,-84.9,86.8,40.49
35,-84.87,86.85,40.5
36,-84.91,86.89,40.4
33,-84.69,87,40.33
36,-84.79,87.07,40.56
34,-84.74,87.04,40.51
34,-84.76,87,40.45
34,-84.73,87.06,40.48
35,-84.74,87.15,40.48
32,-84.63,87.06,40.33
34,-84.72,87.05,40.4
34,-84.7,87.11,40.42
33,-84.67,87.11,40.33
33,-84.64,87.17,40.28
35,-84.8,87.07,40.63
35,-84.73,87.18,40.39
34,-84.7,87.16,40.32
34,-84.67,87.2,40.27
34,-84.69,87.23,40.27
35,-84.72,87.25,40.33
33,-84.64,87.22,40.27
34,-84.66,87.25,40.27
35,-84.7,87.25,40.26
35,-84.68,87.28,40.27
35,-84.72,87.29,40.25
35,-84.73,87.26,40.21
33,-84.65,87.22,40.22
34,-84.68,87.26,40.22
31,-84.59,87.16,40.24
31,-84.59,87.23,40.24
35,-84.72,87.29,40.31
36,-84.84,87,40.65
34,-84.75,86.97,40.61
34,-84.77,86.97,40.57
31,-84.61,87.05,40.24
33,-84.74,86.95,40.33
32,-84.69,87.01,40.23
34,-84.8,87.02,40.21
34,-84.75,86.97,40.28
34,-84.8,86.9,40.33
35,-84.86,86.97,40.22
34,-84.81,86.91,40.28
34,-84.74,86.95,40.48
34,-84.79,86.9,40.48
33,-84.74,86.95,40.41
34,-84.8,86.9,40.41
35,-84.89,86.89,40.22
36,-84.97,86.81,40.5
36,-84.92,86.89,40.31
36,-84.96,86.82,40.4
35,-84.86,86.85,40.32
37,-85.14,86.58,40.39
34,-84.82,86.91,40.56
36,-84.84,86.99,40.72
36,-84.88,86.94,40.64
36,-84.97,86.82,40.63
36,-84.97,86.82,40.56
36,-84.93,86.87,40.57
35,-84.86,86.86,40.55
35,-84.89,86.8,40.47
35,-84.92,86.78,40.51
34,-84.85,86.84,40.48
35,-84.9,86.79,40.41
34,-84.85,86.85,40.41
1954,-97,67.58,40.28
35,-84.84,86.99,40.77
36,-84.81,87.05,40.66
33,-84.68,87,40.41
31,-84.64,86.94,40.33
31,-84.58,86.99,40.34
30,-84.52,87.04,40.26
30,-84.57,87.1,40.25
35,-84.8,87.05,40.72
34,-84.72,87.03,40.56
35,-84.76,87.12,40.57
33,-84.68,87,40.48
35,-84.75,87.14,40.55
34,-84.71,87.04,40.46
33,-84.69,87.11,40.49
35,-84.72,87.2,40.49
32,-84.62,87.05,40.4
31,-84.57,87.11,40.34
33,-84.67,87.11,40.4
32,-84.62,87.16,40.33
32,-84.59,87.23,40.29
34,-84.71,87.02,40.63
35,-84.76,87.12,40.64
35,-84.71,87.24,40.47
34,-84.68,87.17,40.38
35,-84.71,87.24,40.41
34,-84.66,87.22,40.33
33,-84.62,87.28,40.28
34,-84.68,87.28,40.31
34,-84.65,87.33,40.27
35,-84.71,87.36,40.24
35,-84.71,87.29,40.21
32,-84.62,87.28,40.23
31,-84.56,87.21,40.24
35,-84.7,87.35,40.32
1507,-96.66,67.55,40.3
1547,-96.66,67.55,40.26
1645,-96.78,67.56,40.28
1792,-96.88,67.57,40.28
1420,-96.6,67.54,40.28
1464,-96.62,67.54,40.23
1373,-96.56,67.54,40.29
83,-88.6,81.7,50.78
83,-88.6,81.7,50.76
83,-88.6,81.7,50.74
83,-88.6,81.7,50.72
83,-88.6,81.7,50.7
83,-88.6,81.69,50.55
83,-88.6,81.69,50.53
83,-88.6,81.69,50.31
83,-88.6,81.69,50.33
37,-85.12,86.6,40.56
36,-85.08,86.53,40.42
33,-84.71,86.94,40.61
34,-84.76,86.94,40.65
33,-84.73,86.94,40.55
34,-84.78,86.89,40.55
38,-85.33,86.3,40.35
30,-84.58,87,40.25
31,-84.64,86.95,40.24
33,-84.75,86.96,40.23
32,-84.7,86.89,40.33
34,-84.82,86.91,40.23
33,-84.76,86.84,40.33
33,-84.69,86.89,40.48
33,-84.75,86.84,40.48
32,-84.69,86.89,40.41
33,-84.75,86.84,40.41
34,-84.82,86.79,40.33
34,-84.89,86.85,40.23
36,-84.96,86.83,40.29
36,-85.04,86.72,40.43
34,-84.88,86.75,40.33
35,-84.9,86.79,40.32
36,-85.13,86.61,40.25
