ppm NH3 Concentration mole,X (m),Y (m),Z (m)
132,-88.71,81.75,42.25
53,-88.72,81.76,42.23
442,-88.71,81.75,42.27
132,-88.71,81.75,42.25
53,-88.72,81.76,42.23
442,-88.71,81.75,42.27
53,-88.72,81.76,42.23
132,-88.71,81.75,42.25
442,-88.71,81.75,42.27
30,-88.72,81.76,42.25
69,-88.74,81.77,42.23
51,-88.71,81.75,42.29
30,-88.72,81.76,42.25
69,-88.74,81.77,42.23
51,-88.71,81.75,42.29
69,-88.74,81.77,42.23
30,-88.72,81.76,42.25
51,-88.71,81.75,42.28
30,-88.74,81.77,42.25
30,-88.74,81.77,42.25
30,-88.74,81.77,42.25
507380,-93.84,77.26,41.38
674114,-93.85,77.25,41.38
694180,-93.85,77.25,41.38
617546,-93.85,77.25,41.38
60053,-93.83,77.27,41.37
53372,-93.83,77.27,41.37
13121,-93.83,77.27,41.37
3676,-93.83,77.27,41.37
31168,-93.83,77.27,41.36
47519,-93.83,77.26,41.36
67034,-93.83,77.26,41.36
22264,-93.83,77.26,41.38
20865,-93.83,77.27,41.37
2179,-93.83,77.27,41.37
2458,-93.83,77.27,41.37
66133,-93.83,77.26,41.38
83398,-93.83,77.26,41.38
210189,-93.83,77.26,41.38
136263,-93.84,77.26,41.36
125300,-93.83,77.26,41.36
138445,-93.83,77.26,41.36
199210,-93.84,77.26,41.36
309072,-93.84,77.26,41.36
107552,-93.84,77.26,41.38
453608,-93.84,77.26,41.38
206821,-93.84,77.26,41.38
738313,-93.85,77.25,41.38
768319,-93.85,77.25,41.38
658313,-93.85,77.25,41.38
639599,-93.85,77.25,41.37
699266,-93.85,77.25,41.37
627855,-93.85,77.25,41.38
532189,-93.85,77.25,41.38
428883,-93.85,77.25,41.37
481465,-93.85,77.25,41.37
383760,-93.84,77.26,41.36
15687,-93.84,77.25,41.39
1686,-93.84,77.26,41.39
100098,-93.84,77.25,41.38
548964,-93.84,77.26,41.38
334959,-93.84,77.26,41.38
876979,-93.84,77.26,41.38
29469,-93.84,77.26,41.38
211643,-93.84,77.25,41.39
488153,-93.84,77.25,41.38
770992,-93.84,77.25,41.38
668680,-93.85,77.25,41.38
739650,-93.85,77.25,41.38
596659,-93.85,77.25,41.38
646299,-93.85,77.25,41.38
616239,-93.85,77.25,41.38
558101,-93.85,77.25,41.38
559209,-93.85,77.25,41.38
502094,-93.85,77.25,41.38
444004,-93.85,77.25,41.38
422787,-93.85,77.25,41.38
325269,-93.85,77.24,41.38
204,-93.83,77.27,41.37
168,-93.83,77.27,41.37
