ppm HF Concentration mole,X (m),Y (m),Z (m)
14612,26.22,79.01,40.53
606260,26.22,79.01,40.49
615265,26.22,79.01,40.49
540120,26.22,79.01,40.49
495585,26.22,79.01,40.49
622643,26.22,79.01,40.49
601246,26.23,79.01,40.49
544543,26.23,79.01,40.49
481486,26.23,79.01,40.49
7169,26.22,79.01,40.53
1612,26.23,79.01,40.53
23448,26.23,79.01,40.53
31466,26.23,79.01,40.53
21117,26.24,79.01,40.52
592960,26.23,79.01,40.49
639676,26.23,79.01,40.49
6383,26.22,79.01,40.53
1883,26.22,79.01,40.53
2204,26.22,79.01,40.53
1133,26.22,79.01,40.53
958,26.22,79.01,40.53
840,26.22,79.01,40.53
4218,26.22,79.01,40.53
44427,26.22,79.01,40.53
3693,26.22,79.01,40.53
496,26.21,79.01,40.53
22946,26.21,79.01,40.53
17743,26.21,79.01,40.53
3251,26.22,79.01,40.53
9136,26.22,79.01,40.53
10625,26.22,79.01,40.53
652758,26.22,79.01,40.53
550814,26.22,79.01,40.53
180571,26.21,79.01,40.49
524332,26.21,79.01,40.49
520475,26.22,79.01,40.49
827728,26.22,79.01,40.49
586441,26.22,79.01,40.49
435014,26.22,79.01,40.49
567448,26.22,79.01,40.49
682095,26.22,79.01,40.49
428116,26.22,79.01,40.49
612107,26.22,79.01,40.49
787349,26.22,79.01,40.49
715414,26.22,79.01,40.49
499028,26.22,79.01,40.49
627370,26.22,79.01,40.49
512607,26.22,79.01,40.49
523910,26.22,79.01,40.49
482650,26.22,79.01,40.49
458401,26.22,79.01,40.49
361965,26.22,79.01,40.49
389963,26.22,79.01,40.49
637877,26.22,79.01,40.49
595081,26.22,79.01,40.49
824785,26.22,79.01,40.49
573488,26.22,79.01,40.49
382801,26.22,79.01,40.49
429824,26.22,79.01,40.49
318103,26.22,79.01,40.49
317613,26.23,79.01,40.49
293672,26.23,79.01,40.49
533330,26.23,79.01,40.49
731070,26.22,79.01,40.49
628746,26.23,79.01,40.49
482748,26.23,79.01,40.49
406829,26.23,79.01,40.49
370898,26.23,79.01,40.49
533901,26.23,79.01,40.49
435437,26.23,79.01,40.49
338394,26.23,79.01,40.49
268843,26.23,79.01,40.49
426873,26.23,79.01,40.49
391644,26.23,79.01,40.49
429949,26.23,79.01,40.49
308650,26.23,79.01,40.49
363528,26.23,79.01,40.49
631,26.23,79.01,40.53
1819,26.23,79.01,40.53
29133,26.22,79.01,40.53
542,26.23,79.01,40.53
12145,26.23,79.01,40.53
1067,26.23,79.01,40.53
1862,26.23,79.01,40.53
1471,26.23,79.01,40.53
664,26.23,79.01,40.53
395933,26.22,79.01,40.53
528548,26.22,79.01,40.53
400438,26.23,79.01,40.53
266726,26.23,79.01,40.53
11720,26.23,79.01,40.53
4240,26.23,79.01,40.53
1378,26.23,79.01,40.53
907,26.23,79.01,40.53
4837,26.23,79.01,40.53
148725,26.23,79.01,40.53
3100,26.23,79.01,40.53
627,26.23,79.01,40.53
900,26.23,79.01,40.53
545823,26.23,79.01,40.52
5336,26.23,79.01,40.53
184674,26.23,79.01,40.52
2891,26.24,79.01,40.53
650883,26.23,79.01,40.52
5534,26.24,79.01,40.52
432514,26.23,79.01,40.52
20683,26.24,79.01,40.52
679,26.24,79.01,40.53
966,26.24,79.01,40.52
136532,26.24,79.01,40.52
2955,26.24,79.01,40.52
2579,26.24,79.01,40.52
11288,26.24,79.01,40.52
16919,26.24,79.01,40.52
771363,26.22,79.01,40.49
716948,26.23,79.01,40.49
751185,26.22,79.01,40.49
685715,26.23,79.01,40.49
671762,26.23,79.01,40.49
624436,26.23,79.01,40.49
617847,26.23,79.01,40.49
574621,26.23,79.01,40.49
497331,26.23,79.01,40.49
611547,26.23,79.01,40.49
523652,26.23,79.01,40.49
549005,26.23,79.01,40.49
818718,26.23,79.01,40.49
449185,26.23,79.01,40.49
559942,26.23,79.01,40.49
841805,26.23,79.01,40.49
640598,26.23,79.01,40.49
550457,26.24,79.01,40.49
637207,26.24,79.01,40.49
848846,26.23,79.01,40.49
607160,26.24,79.01,40.49
526178,26.24,79.01,40.49
527961,26.24,79.01,40.5
585187,26.24,79.01,40.5
551309,26.24,79.01,40.5
18989,26.24,79.01,40.52
333,26.21,79.01,40.53
403,26.21,79.01,40.53
385,26.22,79.01,40.53
433,26.22,79.01,40.53
722,26.22,79.01,40.53
4648,26.22,79.01,40.53
1151,26.22,79.01,40.53
411,26.22,79.01,40.53
427,26.22,79.01,40.53
447,26.22,79.01,40.53
463,26.22,79.01,40.53
443,26.22,79.01,40.53
458,26.22,79.01,40.53
1104,26.22,79.01,40.53
5264,26.22,79.01,40.53
10550,26.22,79.01,40.53
2038,26.22,79.01,40.53
487,26.22,79.01,40.53
565,26.22,79.01,40.53
833,26.22,79.01,40.53
842,26.22,79.01,40.53
539,26.22,79.01,40.53
742,26.22,79.01,40.53
504,26.22,79.01,40.53
11089,26.22,79.01,40.53
8194,26.22,79.01,40.53
2052,26.2,79.01,40.52
17875,26.21,79.01,40.52
7886,26.21,79.01,40.52
11583,26.21,79.01,40.52
3179,26.21,79.01,40.52
823670,26.21,79.01,40.52
765932,26.21,79.01,40.52
633488,26.21,79.01,40.52
708788,26.21,79.01,40.52
692,26.21,79.01,40.52
563,26.21,79.01,40.52
419,26.21,79.01,40.52
1243,26.21,79.01,40.52
1645,26.21,79.01,40.52
340,26.21,79.01,40.53
323,26.21,79.01,40.53
487863,26.21,79.01,40.52
568010,26.21,79.01,40.52
539715,26.22,79.01,40.52
456346,26.22,79.01,40.52
482,26.21,79.01,40.53
464,26.21,79.01,40.53
340,26.21,79.01,40.53
2069,26.21,79.01,40.53
108808,26.21,79.01,40.53
5373,26.21,79.01,40.53
492,26.21,79.01,40.53
1022,26.21,79.01,40.53
277400,26.22,79.01,40.53
321916,26.22,79.01,40.53
10029,26.22,79.01,40.53
2584,26.22,79.01,40.53
110275,26.22,79.01,40.53
10333,26.22,79.01,40.53
79631,26.2,79.01,40.51
2679,26.2,79.01,40.52
3245,26.2,79.01,40.52
2134,26.2,79.01,40.52
728069,26.21,79.01,40.51
729508,26.21,79.01,40.51
730695,26.21,79.01,40.51
731719,26.21,79.01,40.51
37934,26.21,79.01,40.52
728746,26.21,79.01,40.52
750258,26.21,79.01,40.52
727159,26.21,79.01,40.52
726709,26.21,79.01,40.51
753284,26.22,79.01,40.51
750624,26.22,79.01,40.52
747890,26.22,79.01,40.52
745157,26.22,79.01,40.52
759637,26.22,79.01,40.51
761153,26.22,79.01,40.51
755655,26.22,79.01,40.51
757694,26.22,79.01,40.51
540219,26.22,79.01,40.52
422483,26.22,79.01,40.52
723192,26.22,79.01,40.52
776932,26.22,79.01,40.52
300786,26.22,79.01,40.53
271064,26.22,79.01,40.53
149149,26.22,79.01,40.53
172182,26.22,79.01,40.53
210663,26.22,79.01,40.53
151102,26.22,79.01,40.53
136495,26.22,79.01,40.53
95295,26.22,79.01,40.53
741571,26.22,79.01,40.52
742715,26.22,79.01,40.52
831419,26.22,79.01,40.52
747340,26.22,79.01,40.52
135515,26.2,79.01,40.5
58193,26.2,79.01,40.5
733158,26.21,79.01,40.51
734423,26.21,79.01,40.51
737306,26.21,79.01,40.5
735925,26.21,79.01,40.51
124036,26.21,79.01,40.5
739824,26.21,79.01,40.5
738413,26.21,79.01,40.5
740762,26.21,79.01,40.5
742173,26.21,79.01,40.5
11652,26.2,79.01,40.5
85467,26.21,79.01,40.5
6534,26.2,79.01,40.5
81026,26.21,79.01,40.5
4590,26.2,79.01,40.5
118226,26.21,79.01,40.5
54814,26.21,79.01,40.49
165573,26.21,79.01,40.49
746036,26.21,79.01,40.5
765056,26.21,79.01,40.5
836101,26.21,79.01,40.5
823229,26.21,79.01,40.49
4367,26.21,79.01,40.49
4436,26.21,79.01,40.49
6368,26.21,79.01,40.49
31649,26.21,79.01,40.49
19408,26.21,79.01,40.49
154752,26.21,79.01,40.49
243743,26.21,79.01,40.49
89200,26.21,79.01,40.49
256703,26.21,79.01,40.49
11438,26.21,79.01,40.49
62423,26.21,79.01,40.49
39585,26.21,79.01,40.49
347569,26.21,79.01,40.49
780215,26.21,79.01,40.49
808944,26.21,79.01,40.49
132159,26.21,79.01,40.49
186391,26.21,79.01,40.49
120177,26.21,79.01,40.49
340367,26.21,79.01,40.49
697254,26.21,79.01,40.49
478103,26.21,79.01,40.49
255025,26.21,79.01,40.49
346985,26.21,79.01,40.49
707101,26.22,79.01,40.49
678811,26.22,79.01,40.49
575450,26.22,79.01,40.49
463083,26.22,79.01,40.49
619070,26.22,79.01,40.49
560392,26.22,79.01,40.49
793115,26.22,79.01,40.49
749320,26.22,79.01,40.49
765655,26.22,79.01,40.5
764521,26.22,79.01,40.51
763574,26.22,79.01,40.51
762344,26.22,79.01,40.51
766623,26.22,79.01,40.5
766473,26.22,79.01,40.5
766195,26.22,79.01,40.5
766374,26.22,79.01,40.5
766054,26.22,79.01,40.5
765370,26.22,79.01,40.5
764486,26.22,79.01,40.5
763169,26.22,79.01,40.49
765839,26.22,79.01,40.49
842492,26.22,79.01,40.49
659502,26.22,79.01,40.49
617884,26.22,79.01,40.49
773177,26.22,79.01,40.49
748319,26.22,79.01,40.49
533342,26.22,79.01,40.49
521097,26.22,79.01,40.49
591621,26.22,79.01,40.49
563228,26.22,79.01,40.49
492158,26.22,79.01,40.49
626255,26.22,79.01,40.49
477326,26.22,79.01,40.49
83292,26.21,79.01,40.49
268602,26.21,79.01,40.49
331094,26.22,79.01,40.49
404636,26.22,79.01,40.49
380173,26.22,79.01,40.49
616466,26.22,79.01,40.49
492275,26.22,79.01,40.49
379120,26.22,79.01,40.49
250876,26.22,79.01,40.49
279832,26.22,79.01,40.49
211196,26.22,79.01,40.49
403173,26.22,79.01,40.49
490804,26.22,79.01,40.49
840315,26.22,79.01,40.49
497516,26.22,79.01,40.49
459573,26.22,79.01,40.49
403793,26.22,79.01,40.49
359039,26.22,79.01,40.49
307406,26.22,79.01,40.49
273796,26.22,79.01,40.49
327574,26.22,79.01,40.49
300621,26.22,79.01,40.49
643071,26.22,79.01,40.49
473206,26.22,79.01,40.49
333124,26.22,79.01,40.49
337078,26.22,79.01,40.49
329507,26.22,79.01,40.49
375466,26.22,79.01,40.49
234074,26.22,79.01,40.49
245800,26.22,79.01,40.49
199895,26.22,79.01,40.49
254956,26.22,79.01,40.49
