ppm HF Concentration mole,X (m),Y (m),Z (m)
5,16.93,66.8,40.4
16,17.69,64.47,40.52
4,17.29,66.37,40.91
8,18.03,63.32,40.58
7,17.82,64.33,41.36
322,30.09,61.37,40.58
91,26.18,57.67,40.14
237,28.16,59.8,40.49
39,27.84,56.36,39.81
102,19.41,62.35,40.58
4,18.14,63.17,41.58
8,25.91,54.74,39.49
25,24.31,56.64,39.92
117,31.69,59.52,40.43
2,30.09,61.29,41.58
92,29.76,57.94,40.15
11,26.2,57.56,41.13
155,26.29,58.82,40.38
2,28.17,59.72,41.49
2,29.28,52.68,38.93
5,27.85,56.22,40.81
89,21.08,60.41,40.53
60,22.7,58.52,40.3
18,19.48,62.23,41.58
4,17.51,60.77,40.55
2,25.94,54.59,40.48
5,24.33,56.52,40.92
10,33.13,55.84,39.48
2,31.69,59.4,41.42
3,29.77,57.81,41.14
10,26.3,58.72,41.37
15,21.11,60.32,41.53
2,19.03,57.1,40.04
11,22.72,58.42,41.3
2,17.57,60.65,41.55
3347,26.22,79.01,40.53
6150,26.22,79.01,40.49
10613,26.22,79.01,40.49
2178,26.22,79.01,40.49
1448,26.22,79.01,40.49
9137,26.22,79.01,40.49
7229,26.23,79.01,40.49
4773,26.23,79.01,40.49
1900,26.23,79.01,40.49
2584,26.22,79.01,40.53
555,26.23,79.01,40.53
9740,26.23,79.01,40.53
7945,26.23,79.01,40.53
7146,26.24,79.01,40.52
6080,26.23,79.01,40.49
11885,26.23,79.01,40.49
2197,26.22,79.01,40.53
764,26.22,79.01,40.53
4185,26.22,79.01,40.53
1026,26.22,79.01,40.53
889,26.22,79.01,40.53
960,26.22,79.01,40.53
3331,26.22,79.01,40.53
439467,26.22,79.01,40.53
3628,26.22,79.01,40.53
813,26.21,79.01,40.53
6890,26.21,79.01,40.53
4260,26.21,79.01,40.53
2301,26.22,79.01,40.53
6732,26.22,79.01,40.53
6811,26.22,79.01,40.53
998735,26.22,79.01,40.53
1000000,26.22,79.01,40.53
1665,26.21,79.01,40.49
6256,26.21,79.01,40.49
6532,26.22,79.01,40.49
999123,26.22,79.01,40.49
12244,26.22,79.01,40.49
1922,26.22,79.01,40.49
9125,26.22,79.01,40.49
46078,26.22,79.01,40.49
1496,26.22,79.01,40.49
296104,26.22,79.01,40.49
193653,26.22,79.01,40.49
29701,26.22,79.01,40.49
3219,26.22,79.01,40.49
703462,26.22,79.01,40.49
7401,26.22,79.01,40.49
29817,26.22,79.01,40.49
11271,26.22,79.01,40.49
1417,26.22,79.01,40.49
440,26.22,79.01,40.49
940,26.22,79.01,40.49
23042,26.22,79.01,40.49
4471,26.22,79.01,40.49
1000000,26.22,79.01,40.49
5521,26.22,79.01,40.49
1736,26.22,79.01,40.49
2081,26.22,79.01,40.49
385,26.22,79.01,40.49
396,26.23,79.01,40.49
147,26.23,79.01,40.49
4685,26.23,79.01,40.49
849967,26.22,79.01,40.49
697259,26.23,79.01,40.49
3524,26.23,79.01,40.49
1933,26.23,79.01,40.49
1268,26.23,79.01,40.49
310288,26.23,79.01,40.49
1516,26.23,79.01,40.49
364,26.23,79.01,40.49
32,26.23,79.01,40.49
30792,26.23,79.01,40.49
930,26.23,79.01,40.49
728,26.23,79.01,40.49
116,26.23,79.01,40.49
105,26.23,79.01,40.49
984,26.23,79.01,40.53
3227,26.23,79.01,40.53
381949,26.22,79.01,40.53
481,26.23,79.01,40.53
96901,26.23,79.01,40.53
1369,26.23,79.01,40.53
1477,26.23,79.01,40.53
1414,26.23,79.01,40.53
417,26.23,79.01,40.53
997757,26.22,79.01,40.53
997977,26.22,79.01,40.53
996889,26.23,79.01,40.53
981673,26.23,79.01,40.53
5013,26.23,79.01,40.53
5556,26.23,79.01,40.53
2010,26.23,79.01,40.53
825,26.23,79.01,40.53
6278,26.23,79.01,40.53
650843,26.23,79.01,40.53
3273,26.23,79.01,40.53
127,26.23,79.01,40.53
1124,26.23,79.01,40.53
1000000,26.23,79.01,40.52
6811,26.23,79.01,40.53
752849,26.23,79.01,40.52
3135,26.24,79.01,40.53
998271,26.23,79.01,40.52
5815,26.24,79.01,40.52
997990,26.23,79.01,40.52
7968,26.24,79.01,40.52
139,26.24,79.01,40.53
797,26.24,79.01,40.52
723840,26.24,79.01,40.52
2510,26.24,79.01,40.52
1134,26.24,79.01,40.52
5653,26.24,79.01,40.52
5097,26.24,79.01,40.52
998345,26.22,79.01,40.49
997518,26.23,79.01,40.49
996036,26.22,79.01,40.49
991872,26.23,79.01,40.49
996186,26.23,79.01,40.49
980622,26.23,79.01,40.49
989265,26.23,79.01,40.49
769083,26.23,79.01,40.49
3516,26.23,79.01,40.49
8281,26.23,79.01,40.49
3055,26.23,79.01,40.49
4267,26.23,79.01,40.49
868362,26.23,79.01,40.49
1220,26.23,79.01,40.49
2213,26.23,79.01,40.49
996651,26.23,79.01,40.49
5940,26.23,79.01,40.49
2279,26.24,79.01,40.49
7254,26.24,79.01,40.49
998403,26.23,79.01,40.49
5391,26.24,79.01,40.49
1599,26.24,79.01,40.49
6207,26.24,79.01,40.5
4491,26.24,79.01,40.5
5950,26.24,79.01,40.5
4709,26.24,79.01,40.52
