ppm HF Concentration mole,X (m),Y (m),Z (m)
2,-65.29,78.42,52.51
2,-64.18,74.81,51.93
2,-63.92,78.35,53.65
2,-62.09,74.6,53.85
2,-63.65,85.4,57.16
2,-65.77,82.05,53.96
2,-64.28,78.37,57.15
2,-60.4,81.58,62.21
2,-61.01,74.54,57.21
2,-67.42,82.19,57.12
15269,6.55,92.59,42.2
15270,6.55,92.59,42.19
15270,6.55,92.59,42.18
15270,6.55,92.59,42.17
15270,6.55,92.59,42.16
15270,6.55,92.59,42.15
15270,6.55,92.59,42.13
15270,6.55,92.59,42.14
15269,6.55,92.59,42.39
15269,6.55,92.59,42.41
15269,6.55,92.59,42.42
15269,6.55,92.59,42.36
15269,6.55,92.59,42.35
15269,6.55,92.59,42.33
15269,6.55,92.59,42.34
15274,6.55,92.59,41.87
15274,6.55,92.59,41.85
15274,6.55,92.59,41.84
15274,6.55,92.59,41.86
15271,6.55,92.58,41.87
15271,6.55,92.58,41.85
15271,6.55,92.58,41.84
15269,6.55,92.59,42.31
15269,6.55,92.59,42.32
15269,6.55,92.59,42.3
15269,6.55,92.59,42.29
15269,6.55,92.59,42.28
15269,6.55,92.59,42.27
15269,6.55,92.59,42.26
15269,6.55,92.59,42.25
15269,6.55,92.59,42.24
15269,6.55,92.59,42.23
15269,6.55,92.59,42.22
15269,6.55,92.59,42.21
15268,6.55,92.59,42.2
15270,6.55,92.59,42.2
15268,6.55,92.58,42.2
15270,6.55,92.58,42.2
15268,6.55,92.59,42.19
15270,6.55,92.59,42.19
15268,6.55,92.58,42.19
15270,6.55,92.58,42.19
15268,6.55,92.59,42.18
15270,6.55,92.59,42.18
15268,6.55,92.58,42.18
15270,6.55,92.58,42.18
15268,6.55,92.59,42.17
15270,6.55,92.59,42.17
15268,6.55,92.58,42.17
15271,6.55,92.58,42.17
15270,6.55,92.59,42.12
15270,6.55,92.59,42.11
15270,6.55,92.59,42.11
15270,6.55,92.59,42.1
15268,6.55,92.59,42.16
15270,6.55,92.59,42.16
15268,6.55,92.58,42.16
15271,6.55,92.58,42.16
15268,6.55,92.59,42.15
15270,6.55,92.59,42.15
15268,6.55,92.58,42.15
15271,6.55,92.58,42.15
15268,6.55,92.59,42.13
15271,6.55,92.59,42.13
15268,6.55,92.58,42.13
15271,6.55,92.58,42.13
15268,6.55,92.59,42.14
15270,6.55,92.59,42.14
15268,6.55,92.58,42.14
15271,6.55,92.58,42.14
15271,6.55,92.59,42.08
15271,6.55,92.59,42.09
15271,6.55,92.59,42.07
15271,6.55,92.59,42.06
15269,6.55,92.59,42.52
15269,6.55,92.59,42.51
15269,6.55,92.59,42.5
15269,6.55,92.59,42.49
15269,6.55,92.59,42.48
15269,6.55,92.59,42.47
15269,6.55,92.59,42.46
15269,6.55,92.59,42.45
15269,6.55,92.59,42.44
15269,6.55,92.59,42.43
15267,6.55,92.58,42.42
15269,6.55,92.59,42.4
15267,6.55,92.58,42.41
15269,6.55,92.59,42.37
15269,6.55,92.59,42.38
15267,6.55,92.58,42.39
15270,6.55,92.59,42.79
15269,6.55,92.59,42.59
15269,6.55,92.59,42.53
15269,6.55,92.59,42.53
15267,6.55,92.59,42.39
15269,6.55,92.59,42.39
15269,6.55,92.58,42.39
15267,6.55,92.59,42.41
15269,6.55,92.59,42.41
15269,6.55,92.58,42.41
15267,6.55,92.59,42.42
15269,6.55,92.59,42.42
15269,6.55,92.58,42.42
15267,6.55,92.58,42.36
15267,6.55,92.58,42.35
15267,6.55,92.58,42.34
15267,6.55,92.58,42.33
15267,6.55,92.59,42.36
15269,6.55,92.58,42.36
15269,6.55,92.59,42.36
15267,6.55,92.59,42.35
15269,6.55,92.58,42.35
15269,6.55,92.59,42.35
15267,6.55,92.59,42.33
15269,6.55,92.58,42.33
15269,6.55,92.59,42.33
15267,6.55,92.59,42.34
15269,6.55,92.58,42.34
15269,6.55,92.59,42.34
15280,6.55,92.59,41.58
15276,6.55,92.58,41.58
15277,6.55,92.58,41.58
15273,6.55,92.59,41.88
15271,6.55,92.59,41.87
15274,6.55,92.59,41.87
15275,6.55,92.58,41.87
15271,6.55,92.59,41.85
15275,6.55,92.59,41.85
15276,6.55,92.58,41.85
15272,6.55,92.58,41.83
15274,6.55,92.59,41.83
15271,6.55,92.59,41.84
15275,6.55,92.59,41.84
15276,6.55,92.58,41.84
15275,6.55,92.59,41.82
15271,6.55,92.59,42.05
15271,6.55,92.59,42.04
15271,6.55,92.59,42.03
15271,6.55,92.59,42.02
15271,6.55,92.58,41.88
15271,6.55,92.59,41.86
15275,6.55,92.59,41.86
15275,6.55,92.58,41.86
15271,6.55,92.58,41.86
15272,6.55,92.58,41.87
15272,6.55,92.58,41.85
15272,6.55,92.58,41.84
15272,6.55,92.58,41.82
15273,6.55,92.58,41.83
15267,6.55,92.59,42.31
15269,6.55,92.59,42.31
15267,6.55,92.58,42.31
15270,6.55,92.58,42.31
15267,6.55,92.59,42.32
15269,6.55,92.59,42.32
15267,6.55,92.58,42.32
15269,6.55,92.58,42.32
15267,6.55,92.59,42.3
15269,6.55,92.59,42.3
15267,6.55,92.58,42.3
15270,6.55,92.58,42.3
15267,6.55,92.59,42.29
15269,6.55,92.59,42.29
15267,6.55,92.58,42.29
15270,6.55,92.58,42.29
15267,6.55,92.59,42.28
15269,6.55,92.59,42.28
15267,6.55,92.58,42.28
15270,6.55,92.58,42.28
15267,6.55,92.59,42.27
15269,6.55,92.59,42.27
15267,6.55,92.58,42.27
15270,6.55,92.58,42.27
15267,6.55,92.59,42.26
15270,6.55,92.59,42.26
15267,6.55,92.58,42.26
15270,6.55,92.58,42.26
15267,6.55,92.59,42.25
15270,6.55,92.59,42.25
15267,6.55,92.58,42.25
15270,6.55,92.58,42.25
15268,6.55,92.59,42.24
15270,6.55,92.59,42.24
15267,6.55,92.58,42.24
15270,6.55,92.58,42.24
15268,6.55,92.59,42.23
15270,6.55,92.59,42.23
15268,6.55,92.58,42.23
15270,6.55,92.58,42.23
15268,6.55,92.59,42.22
15270,6.55,92.59,42.22
15268,6.55,92.58,42.22
15270,6.55,92.58,42.22
15268,6.55,92.59,42.21
15270,6.55,92.59,42.21
15268,6.55,92.58,42.21
15270,6.55,92.58,42.21
15268,6.55,92.59,42.2
15274,6.56,92.59,42.2
15269,6.55,92.58,42.2
15278,6.56,92.58,42.2
15268,6.55,92.59,42.19
15274,6.56,92.59,42.19
15269,6.55,92.58,42.19
15279,6.56,92.58,42.19
15268,6.55,92.59,42.18
15274,6.56,92.59,42.18
15269,6.55,92.58,42.18
15279,6.56,92.58,42.18
15268,6.55,92.59,42.17
15274,6.56,92.59,42.17
15269,6.55,92.58,42.17
15279,6.56,92.58,42.17
15268,6.55,92.59,42.12
15271,6.55,92.59,42.12
15268,6.55,92.58,42.12
15271,6.55,92.58,42.12
15268,6.55,92.59,42.11
15271,6.55,92.59,42.11
15268,6.55,92.58,42.11
15271,6.55,92.58,42.11
15268,6.55,92.59,42.11
15271,6.55,92.59,42.11
15268,6.55,92.58,42.11
15271,6.55,92.58,42.11
15268,6.55,92.59,42.1
15271,6.55,92.59,42.1
15268,6.55,92.58,42.1
15271,6.55,92.58,42.1
15269,6.55,92.59,42.16
15274,6.56,92.59,42.16
15269,6.55,92.58,42.16
15279,6.56,92.58,42.16
15269,6.55,92.59,42.15
15274,6.56,92.59,42.15
15269,6.55,92.58,42.15
15279,6.56,92.58,42.15
15269,6.55,92.59,42.13
15275,6.56,92.59,42.13
15269,6.55,92.58,42.13
15280,6.56,92.58,42.13
15269,6.55,92.59,42.14
15275,6.56,92.59,42.14
15269,6.55,92.58,42.14
15279,6.56,92.58,42.14
15269,6.55,92.59,42.08
15271,6.55,92.59,42.08
15268,6.55,92.58,42.08
15272,6.55,92.58,42.08
15268,6.55,92.59,42.09
15271,6.55,92.59,42.09
15268,6.55,92.58,42.09
15272,6.55,92.58,42.09
15269,6.55,92.59,42.07
15271,6.55,92.59,42.07
15269,6.55,92.58,42.07
15272,6.55,92.58,42.07
15269,6.55,92.59,42.06
15271,6.55,92.59,42.06
15269,6.55,92.58,42.06
15272,6.55,92.58,42.06
15269,6.55,92.59,42.67
15269,6.55,92.59,42.66
15269,6.55,92.59,42.65
15269,6.55,92.59,42.64
15269,6.55,92.59,42.63
15269,6.55,92.59,42.62
15269,6.55,92.59,42.61
15269,6.55,92.59,42.6
15268,6.55,92.58,42.59
15269,6.55,92.59,42.57
15269,6.55,92.59,42.56
15269,6.55,92.59,42.55
15269,6.55,92.59,42.54
15268,6.55,92.58,42.53
15268,6.55,92.58,42.53
15268,6.55,92.59,42.52
15269,6.55,92.59,42.52
15268,6.55,92.58,42.52
15269,6.55,92.58,42.52
15268,6.55,92.59,42.51
15269,6.55,92.59,42.51
15268,6.55,92.58,42.51
15269,6.55,92.58,42.51
15268,6.55,92.59,42.5
15269,6.55,92.59,42.5
15268,6.55,92.58,42.5
15269,6.55,92.58,42.5
15268,6.55,92.59,42.49
15269,6.55,92.59,42.49
15268,6.55,92.58,42.49
15269,6.55,92.58,42.49
15267,6.55,92.59,42.48
15269,6.55,92.59,42.48
15267,6.55,92.58,42.48
15269,6.55,92.58,42.48
15267,6.55,92.59,42.47
15269,6.55,92.59,42.47
15267,6.55,92.58,42.47
15269,6.55,92.58,42.47
15267,6.55,92.59,42.46
15269,6.55,92.59,42.46
15267,6.55,92.58,42.46
15269,6.55,92.58,42.46
15267,6.55,92.59,42.45
15269,6.55,92.59,42.45
15267,6.55,92.58,42.45
15269,6.55,92.58,42.45
15267,6.55,92.59,42.44
15269,6.55,92.59,42.44
15267,6.55,92.58,42.44
15269,6.55,92.58,42.44
15267,6.55,92.59,42.43
15269,6.55,92.59,42.43
15267,6.55,92.58,42.43
15269,6.55,92.58,42.43
15268,6.55,92.58,42.42
15267,6.55,92.59,42.4
15269,6.55,92.59,42.4
15268,6.55,92.58,42.41
15267,6.55,92.58,42.4
15269,6.55,92.58,42.4
15267,6.55,92.59,42.37
15269,6.55,92.59,42.37
15267,6.55,92.58,42.37
15269,6.55,92.58,42.37
15267,6.55,92.59,42.38
15269,6.55,92.59,42.38
15267,6.55,92.58,42.38
15269,6.55,92.58,42.38
15268,6.55,92.58,42.39
15270,6.55,92.59,42.8
15270,6.55,92.59,42.78
15270,6.55,92.58,42.79
15270,6.55,92.59,42.77
15270,6.55,92.59,42.76
15270,6.55,92.59,42.75
15270,6.55,92.59,42.74
